Parameter,Case CE
Cost,225.64406509266664
xk1,0.07663860512160367
xk1,-0.23392030281708287
xk1,-0.531897062457674
xk1,-0.7112029924365314
xk1,-1.082260480811288
xk1,-1.753710138553011
xk1,-2.393690201750584
xk1,-1.52193833914701
xk1,0.07422503886473834
xk1,2.088607315564507
xk1,1.9794085418565617
xk1,0.21157507577247342
xk1,-1.832281720886184
xk1,-3.379964902419346
xk1,-2.3369240370175697
xk1,4.32206144706987
xk1,14.595308938398347
xk1,18.36137908094233
xk1,4.520533245746457
xk1,7.664594291940623
xk2,0.11560714700707024
xk2,-0.4445510113392586
xk2,-0.5359373076830428
xk2,-0.3503283920821429
xk2,-0.8302545975025645
xk2,-1.5458842598881015
xk2,-1.6458065052882331
xk2,0.4021462853330414
xk2,1.4900410606265466
xk2,2.193702630965491
xk2,0.041545586474688284
xk2,-1.8745500609561592
xk2,-2.0547375187180745
xk2,-2.1587994964286925
xk2,0.3433996833930518
xk2,8.601171238839969
xk2,15.646275110235358
xk2,8.798891526243814
xk2,-14.458881048077513
xk2,11.436899425691117
xk3,0.14552831521128276
xk3,-0.6350786988467015
xk3,-0.3233919816068749
xk3,-0.27937874032253673
xk3,-1.261817633701679
xk3,-1.8659365009718187
xk3,-1.7267402339133042
xk3,0.3771089405768223
xk3,0.010385476301884326
xk3,1.1182334746233968
xk3,-0.6722222539769244
xk3,-0.5664284527498603
xk3,-0.19860523152187826
xk3,-1.9969217911918857
xk3,0.024187324311757696
xk3,8.323266298172088
xk3,13.042290285726102
xk3,5.219622997134174
xk3,-12.161126976072095
xk3,36.063072514693886
uk,0.10266179667749181
uk,-0.7016840185894938
uk,0.7304521852006296
uk,0.8915515063366226
uk,0.459131590928374
uk,1.5595934689602928
uk,3.228949105369928
uk,5.553991760307941
uk,2.0499610406547526
uk,0.872976632684655
uk,-4.579647559755318
uk,-2.7885190466924303
uk,-0.15003089540199088
uk,1.365875167292191
uk,7.051125393774183
uk,9.54272306273464
uk,-4.931144952754743
uk,-30.365134501363986
uk,-41.3882016834054
t1,1.0
t1,0.996951205970842
t1,0.9884345200828131
t1,0.967031664306969
t1,0.9628965906731353
t1,1.0127003015844287
t1,0.9396523815088805
t1,0.8976737743243143
t1,0.8942829855519886
t1,1.023065696238622
t1,1.1010885583112189
t1,1.0843055305750837
t1,1.1068084619613752
t1,1.177280911941335
t1,1.222844803184879
t1,1.0448462480705618
t1,1.0559338209650622
t1,1.0764202764668247
t1,0.9592677269911942
t1,0.8233162442962731
t2,-0.6
t2,-0.603048794029158
t2,-0.6237312701159896
t2,-0.609989339952764
t2,-0.5829163212816454
t2,-0.5095633246439304
t2,-0.43536475465582236
t2,-0.31462519638172987
t2,-0.31669165566835317
t2,-0.3685521848505003
t2,-0.14138053532280018
t2,-0.1736962261944254
t2,-0.17548068728193988
t2,-0.8179059452790249
t2,-0.7715375886459959
t2,-0.7763763122267532
t2,-0.7714874789961909
t2,-0.41636720604084937
t2,-0.16120837628725126
t2,0.004699634245256823
t3,0.3
t3,0.2996951205970842
t3,0.29533853171235724
t3,0.3013941827814026
t3,0.3049475253001207
t3,0.309832804554578
t3,0.35577799258076137
t3,0.38460724850012296
t3,0.3845417723874028
t3,0.38042458288670933
t3,0.3632401397840235
t3,0.3590441128613715
t3,0.3578073333250162
t3,0.33055910204127126
t3,0.3265286742391279
t3,0.31714728764294015
t3,0.37922863550715374
t3,0.5241795549964539
t3,0.49873324646385503
t3,0.5005124518981717
t4,0.1
t4,0.10034215994985457
t4,0.10469505041002303
t4,0.10096070802925296
t4,0.09876201152715658
t4,0.09304757237849155
t4,0.060500384634957896
t4,0.034781751323041246
t4,0.035536192507140345
t4,0.0342966815143166
t4,0.08265685797891309
t4,0.07988859781109764
t4,0.08245699887915478
t4,0.047791094590642326
t4,0.060897160293262066
t4,0.08703257293114428
t4,0.17197693823141702
t4,0.20713712961148922
t4,0.17899244428626404
t4,0.15183469018613258
t5,0.7
t5,0.7003421599498545
t5,0.7048883522575131
t5,0.6998409981926124
t5,0.6974891579187504
t5,0.701920322782858
t5,0.6850918188162168
t5,0.6667570076087207
t5,0.6673319605739864
t5,0.6946477581570312
t5,0.6864563925477576
t5,0.6981788633646632
t5,0.7023491055146139
t5,0.78657994441337
t5,0.7947432980960198
t5,0.7967231287140275
t5,0.7638075894387142
t5,0.5978573847582858
t5,0.6120191043990862
t5,0.6229769431256956
t6,1.5
t6,1.5034215994985456
t6,1.5459751548000027
t6,1.5171689833676714
t6,1.4839264663117988
t6,1.3836485034060275
t6,1.121709704622074
t6,0.8691144373223028
t6,0.8792376959559934
t6,0.7612292792190235
t6,0.8743220232865282
t6,0.9341218101456266
t6,0.9121588197372781
t6,0.7033768752030845
t6,0.7079422451483126
t6,0.8453478568278177
t6,1.293779716028738
t6,1.1492055263771155
t6,0.7578578355267833
t6,0.9114836952557087
