Parameter,Case 1,Case 2
Cost,8.601507858036578,132.20373238286814
xk1,0.24443536197618893,8.001885144551261
xk1,0.05476116822804101,-0.01766997724997592
xk1,-0.29396797301062294,-5.717175998313011
xk1,-0.49910172000827163,-0.8264739434691629
xk1,-0.25403868434204574,7.415152037872403
xk1,0.3493113336480591,17.12021843655643
xk1,1.299009067643164,24.345605649654846
xk1,-0.754234018921373,11.458135485778776
xk1,-0.40714811349942964,9.813547236194443
xk1,-1.3938673647659525,6.408898048627138
xk1,2.59920341373602,6.852770515701087
xk1,2.101524380513535,10.15204604202243
xk1,-0.8371131410678568,12.965091530285832
xk1,-6.740918098470511,11.606833686993703
xk1,-1.9395271926740547,10.55375845674341
xk1,10.183756217670789,9.926329504042794
xk1,16.22285850000908,10.0989729461246
xk1,5.941343680820822,10.28198088694697
xk1,3.529192218328985,11.520809993347056
xk1,0.0,12.043957693974374
xk2,0.1726495102535381,18.990647136355896
xk2,-0.24902250934637202,-11.19476320517011
xk2,-0.660193675919119,-12.812927472774609
xk2,-0.5743627698381314,11.680964014738205
xk2,0.42780841996988744,13.700987775686343
xk2,1.5005448851845296,10.823271438205875
xk2,-0.27451030527796033,15.194653326212181
xk2,-1.7648081208314204,-7.728868375570773
xk2,-3.604543783211692,5.74936777322817
xk2,0.040791039443977106,6.314427969643643
xk2,2.013360330215197,3.1744307359009327
xk2,-0.26012343634574603,7.4125109447958355
xk2,-7.656048488746611,9.424621403082904
xk2,-7.074464369806926,3.3765764111998458
xk2,4.045592037265755,4.087663860706942
xk2,15.164975734575783,6.317707950625654
xk2,6.055472107622045,6.019822851499253
xk2,-12.92677346663269,5.043631404159179
xk2,-1.3894677670776907,7.158867696940551
xk2,0.0,6.901053139005915
xk3,0.16445063519906458,22.28740934579011
xk3,-0.2325227262183443,-30.494482240252008
xk3,-0.3287187643693582,-0.7918957566201762
xk3,-0.14097096147891003,24.31069557594852
xk3,0.7572839985556332,1.0997168244857598
xk3,1.058134557481098,4.50565146752744
xk3,-1.8039433407130994,21.78417151732355
xk3,-0.6078580305692296,-6.9919116973056585
xk3,-3.051042230557109,27.015744300286872
xk3,4.058150555015085,7.9814874693829125
xk3,0.9778878697309801,1.8765173762815033
xk3,-0.3721391322339075,11.716666832226249
xk3,-7.337051107895997,11.553787104024389
xk3,-0.27942089377282786,4.183173052154123
xk3,7.214810182749175,11.398080959735125
xk3,12.144256106242356,11.84553767335832
xk3,-1.5219256852483778,8.30943124898085
xk3,-8.42607183095181,7.869183380945084
xk3,19.230976114002576,11.853116256003247
xk3,0.0,9.891499973277368
uk,-0.28017361770071547,-4.023623410246526
uk,0.5302195050471169,-54.34977451178273
uk,0.4297439039136589,29.401275841597883
uk,1.3924757684657054,25.079938050257397
uk,1.3220186397948017,-21.40700952182438
uk,-0.7258585161319826,-7.59442305398411
uk,-0.46081580554392826,-14.480461672769788
uk,-2.4351665671009304,-63.29660953591961
uk,6.736110360646195,7.3068116508676315
uk,5.037719854233226,-36.79400056817326
uk,6.217285302738524,-16.035218942856613
uk,-4.971906786659392,-3.9211078475019647
uk,-1.086682722798267,-18.755935169954842
uk,7.076210179415847,-27.893178415734173
uk,20.873427068219065,-13.921463226067642
uk,8.326296993776968,-19.318020124307957
uk,-21.292621760566774,-20.98024865009277
uk,-25.74058208318197,-17.94793128029423
uk,20.21229539433437,-15.106270064144205
t1,1.8,1.0
t1,1.8,1.9066830290051122
t1,1.8,1.7837327380298496
t1,1.8,1.0127378290730489
t1,1.8,1.014439956039078
t1,1.8,0.8123975677163396
t1,1.8,0.7850643781704891
t1,1.8,1.4612756997080523
t1,1.8,1.5648597222637364
t1,1.8,0.9752620257955731
t1,1.8,0.9716503194567078
t1,1.8,0.995721293670675
t1,1.8,1.0385439265953957
t1,1.8,1.0573109273215962
t1,1.8,1.0540084698709504
t1,1.8,1.059253832874961
t1,1.8,1.0686697019826554
t1,1.8,1.0754419598536333
t1,1.8,1.0767184021985468
t1,1.8,1.156288765055977
t2,-1.01,-0.6
t2,-1.01,0.30668302900511224
t2,-1.01,0.261465262578272
t2,-1.01,0.6082933769124559
t2,-1.01,0.6887315045293534
t2,-1.01,0.4849631430018976
t2,-1.01,0.4793462962123459
t2,-1.01,0.577361722443616
t2,-1.01,0.5702310871969118
t2,-1.01,1.1907555063040178
t2,-1.01,1.1656685532617728
t2,-1.01,1.0120853335336069
t2,-1.01,1.0276382408205047
t2,-1.01,1.1665855397475218
t2,-1.01,1.1247383686908738
t2,-1.01,1.1303362002559738
t2,-1.01,1.1253186719298922
t2,-1.01,1.1136481220464491
t2,-1.01,1.0248985683292384
t2,-1.01,1.109341860547846
t3,0.58,0.3
t3,0.58,0.39066830290051124
t3,0.58,0.35904154957383205
t3,0.58,0.5493147583733731
t3,0.58,0.5432899330301284
t3,0.58,0.5426639776866895
t3,0.58,0.5425398297488071
t3,0.58,0.6069464373885995
t3,0.58,0.5922789644138057
t3,0.58,0.6637836109457499
t3,0.58,0.6636229780756387
t3,0.58,0.6396572377642096
t3,0.58,0.643279396128602
t3,0.58,0.6487675405123977
t3,0.58,0.6464806430391878
t3,0.58,0.6474982115646363
t3,0.58,0.6524372655681936
t3,0.58,0.6511601359703069
t3,0.58,0.6521418930151649
t3,0.58,0.6536494472897673
t4,0.3,0.1
t4,0.3,0.038140352686886286
t4,0.3,0.14502495045013747
t4,0.3,0.16696590884064638
t4,0.3,0.19249411437408223
t4,0.3,0.24520355200415325
t4,0.3,0.24441340821561452
t4,0.3,0.43049762947871895
t4,0.3,0.4586593188813789
t4,0.3,0.5103114616565507
t4,0.3,0.5028953309028605
t4,0.3,0.541738522049135
t4,0.3,0.5441008528336664
t4,0.3,0.5025097625168227
t4,0.3,0.48482433723659
t4,0.3,0.4902954620367571
t4,0.3,0.4879726908984091
t4,0.3,0.4903336946358976
t4,0.3,0.4886654210320335
t4,0.3,0.4857598812238658
t5,0.5,0.7
t5,0.5,0.6381403526868863
t5,0.5,0.7424101056061267
t5,0.5,0.663907981271088
t5,0.5,0.6964989289557109
t5,0.5,0.6812812036079833
t5,0.5,0.68758918492236
t5,0.5,0.7143813551239908
t5,0.5,0.7408440238857523
t5,0.5,0.738318717346351
t5,0.5,0.7307994245776879
t5,0.5,0.688863405840429
t5,0.5,0.6997481609938024
t5,0.5,0.6570071299526831
t5,0.5,0.69809186606259
t5,0.5,0.6962999811565289
t5,0.5,0.7096595516407648
t5,0.5,0.7097077723064111
t5,0.5,0.717173510919618
t5,0.5,0.7163515291972954
t6,1,1.5
t6,1,0.8814035268688627
t6,1,1.9277611970682378
t6,1,1.2987629930775926
t6,1,1.4010247053933294
t6,1,1.5489369529265002
t6,1,1.5418778617253666
t6,1,0.7723818733789095
t6,1,0.9660103058945975
t6,1,1.142354313146354
t6,1,1.1800598751247644
t6,1,1.3122305504570746
t6,1,1.3053060855234921
t6,1,1.1356484791896417
t6,1,1.233153617182162
t6,1,1.2300786474953995
t6,1,1.1804071006672725
t6,1,1.203838932703138
t6,1,1.268215785914821
t6,1,1.2105116758597212
