Parameter,Case 1,Case 2
Cost,4.57807033014752,214.31492694661515
xk1,0.3017498249117859,11.693601264173791
xk1,0.001715153764786344,-11.512189800462883
xk1,-0.46087226423649325,-28.044712228470672
xk1,-0.10975711334057402,-20.715472782918084
xk1,-0.035796952274849754,-11.068615793152446
xk1,0.5805043116665882,-9.590299694372161
xk1,0.7360391247421921,-2.5126633649627017
xk1,-0.889516614988615,7.627963431806571
xk1,-1.3937082934106229,24.69168812449773
xk1,-1.0553699085699109,38.365152829090185
xk1,2.705468924436929,27.149300060302096
xk1,2.607114002799126,16.144595372428093
xk1,-1.8794820736765194,7.000253682668084
xk1,-5.687430274563717,7.7629048625599335
xk1,-3.1487142508479664,11.864546147543274
xk1,9.586614208849578,15.459540847788947
xk1,15.050247087224767,16.98243176725831
xk1,4.277563387274707,15.916612742179002
xk1,2.40681272237319,16.887893240593076
xk1,0.0,14.904486479243905
xk2,0.17413838288522498,22.686726925272982
xk2,-0.4312973387748737,-33.38268754378631
xk2,-0.1261965657227133,-32.431530624778745
xk2,-0.7115573390934176,12.559034572668153
xk2,-0.268814919842121,6.129044857133597
xk2,0.15535719217711705,-17.221294692898258
xk2,-0.9992354619121401,2.8316288496227235
xk2,-2.264416895278275,18.570569523302577
xk2,-2.578502446635072,24.595507917465017
xk2,0.9277610481138906,24.564553042204757
xk2,2.6679190358882785,-2.61386481119174
xk2,-0.3189474571483736,-0.1249345921922035
xk2,-6.329881360915142,4.616467916829997
xk2,-7.115982452991991,8.655997490889325
xk2,5.061591711616561,8.885617805125353
xk2,15.788344424297721,9.100631630734439
xk2,6.801980146667501,9.177083458787212
xk2,-13.255738423488431,7.026761597236726
xk2,-0.6366538519610259,10.22435129564653
xk2,0.0,6.401241511625074
xk3,0.14340776088608848,24.957214490363658
xk3,-0.3545436425912795,-59.55469915109729
xk3,0.08184578884465972,-8.010851105736396
xk3,-0.9937288107764329,28.37506997212535
xk3,0.4789747131706878,-27.715572953190083
xk3,0.5063121208399836,-36.41250067531955
xk3,-0.9125912443331712,17.667279354025926
xk3,-0.9559222849739296,16.40728797972672
xk3,-1.324333341370142,15.187805166146733
xk3,2.9759592933079486,23.730613377229155
xk3,1.1484873973865426,1.1846859682589663
xk3,-1.1084861996816144,27.234808946168815
xk3,-5.146185847317379,18.27599565434545
xk3,-2.9280069311699783,10.410489229302065
xk3,9.626870936353114,7.401110750977686
xk3,10.472441786914532,11.35619851790943
xk3,-1.7485338372267012,14.123119933000046
xk3,-10.762770291374197,12.474519470647007
xk3,19.222173720054254,18.140885080499284
xk3,0.0,10.069597308727694
uk,-0.46670293682453406,-8.485396349336863
uk,1.3208849238645193,-82.84885626740713
uk,-0.6816744916362297,69.1450537240551
uk,2.1671017202841414,67.48306593525908
uk,2.1064394279533483,-14.767300859743674
uk,1.632326465165349,21.09962304380183
uk,0.6022260923047562,62.62827405191924
uk,-0.25477161652427194,-2.3620775273496153
uk,4.903230943970878,-15.522452964349467
uk,5.123041805327999,-34.01746163269112
uk,4.257006734466054,-80.09728926038537
uk,-5.116270240235068,-24.757051273002542
uk,-5.395744516393131,-40.47068492925045
uk,8.998417997075542,-21.81726773702065
uk,15.96643131939723,-16.430560611598317
uk,6.539231632921726,-16.89991233312538
uk,-23.36899352070622,-24.616312764801638
uk,-27.733068628277334,-31.004866120345188
uk,22.821175112774785,-23.94462462268866
t1,1.8,1.0
t1,1.8,1.8682301972023732
t1,1.8,1.8332859126312198
t1,1.8,1.4474886117306462
t1,1.8,1.4811414190981795
t1,1.8,1.716808476217689
t1,1.8,1.969777658084432
t1,1.8,1.9460805696734906
t1,1.8,1.9722625534235927
t1,1.8,2.036744901424257
t1,1.8,2.7887715070283745
t1,1.8,2.779997755581087
t1,1.8,2.800228281608306
t1,1.8,2.8043016547812774
t1,1.8,2.743488699732273
t1,1.8,2.666516546001379
t1,1.8,2.6512847558105355
t1,1.8,2.6819546127560683
t1,1.8,2.6752525836857726
t1,1.8,2.7040798957449605
t2,-1.01,-0.6
t2,-1.01,0.2682301972023733
t2,-1.01,0.3850776889246689
t2,-1.01,0.8371711668033688
