Parameter,Actual values,Case 2 : CE,Case3 : Dual,,diffrence in controlers,CE offset,Dual offset
xk_1,0.5,0.5,0.5,,0.0,0.0,0.0
xk_1,0.5,0.5000083398681239,0.5000083398681239,,0.0,-8.339868123874439e-06,-8.339868123874439e-06
xk_1,0.5,0.5005872323758715,0.5005872323758715,,0.0,-0.0005872323758715492,-0.0005872323758715492
xk_1,0.5,0.5004488354277477,0.5004488354277477,,0.0,-0.0004488354277476514,-0.0004488354277476514
xk_1,0.5,0.49986481880633765,0.49986481880633765,,0.0,0.00013518119366234815,0.00013518119366234815
xk_1,0.5,0.5002503747316785,0.5059276142894041,,-0.0056772395577255885,-0.00025037473167854873,-0.005927614289404137
xk_1,0.5,0.5015543101407395,0.5044288622717715,,-0.0028745521310320488,-0.0015543101407394788,-0.004428862271771528
xk_1,0.5,0.5005271490012498,0.5016575993385809,,-0.001130450337331057,-0.0005271490012498381,-0.0016575993385808951
xk_1,0.5,0.5002303620762812,0.5005088706059421,,-0.00027850852966082584,-0.00023036207628124306,-0.0005088706059420689
xk_1,0.5,0.500527511350849,0.5004964688391635,,3.104251168550842e-05,-0.0005275113508490525,-0.0004964688391635441
xk_1,0.5,0.50002505699244,0.4999083233209636,,0.00011673367147646552,-2.5056992440042336e-05,9.167667903642318e-05
xk_1,0.5,0.49937932489403913,0.4992722920787236,,0.0001070328153155442,0.0006206751059608662,0.0007277079212764104
xk_1,0.5,0.49824709646368937,0.49817324636332294,,7.385010036642381e-05,0.0017529035363106349,0.0018267536366770587
xk_1,0.5,0.4983735587725092,0.49832530905652905,,4.8249715980164254e-05,0.0016264412274907825,0.0016746909434709467
xk_1,0.5,0.4974636358219172,0.4974308221309788,,3.2813690938438e-05,0.002536364178082784,0.002569177869021222
xk_1,0.5,0.4954708429885038,0.49544731014985777,,2.3532838646034282e-05,0.004529157011496199,0.004552689850142233
xk_1,0.5,0.4960260789961651,0.5059158976109974,,-0.009889818614832346,0.003973921003834924,-0.005915897610997423
xk_1,0.5,0.49649312540796214,0.5014630412941611,,-0.004969915886198939,0.0035068745920378563,-0.0014630412941610826
xk_1,0.5,0.4952840461221874,0.49735069450369745,,-0.00206664838151005,0.004715953877812595,0.0026493054963025453
xk_1,0.5,0.4985013896359715,0.4992666235907451,,-0.0007652339547735698,0.0014986103640284854,0.0007333764092549155
xk_1,0.5,0.49952784596579586,0.4997028085469166,,-0.00017496258112076335,0.0004721540342041419,0.0002971914530833786
xk_1,0.5,0.5001544120086158,0.5001680658677433,,-1.365385912754924e-05,-0.00015441200861576743,-0.00016806586774331667
xk_1,0.5,0.4997122011299895,0.5035781077373418,,-0.0038659066073523096,0.00028779887001051385,-0.0035781077373417958
xk_1,0.5,0.5000965953567088,0.5022518287915069,,-0.002155233434798065,-9.659535670880626e-05,-0.0022518287915068713
xk_1,0.5,0.5002163109921208,0.5012034650924426,,-0.0009871541003217965,-0.00021631099212082727,-0.0012034650924426238
xk_1,0.5,0.4986498983970556,0.49898055079774756,,-0.00033065240069196644,0.001350101602944409,0.0010194492022524426
xk_1,0.5,0.4972509717984987,0.4973070388329632,,-5.6067034464479804e-05,0.0027490282015013023,0.0026929611670368225
xk_1,0.5,0.4972528107707711,0.49722468573207446,,2.8125038696646953e-05,0.002747189229228897,0.002775314267925544
xk_1,0.5,0.4961599141677104,0.4961243369868176,,3.557718089275408e-05,0.003840085832289619,0.0038756630131823733
xk_1,0.5,0.49542781481883524,0.495410223121994,,1.759169684123485e-05,0.004572185181164756,0.004589776878005991
xk_1,0.5,0.49610595203249463,0.49610527259405146,,6.794384431740852e-07,0.003894047967505365,0.0038947274059485393
xk_1,0.5,0.4962249192022896,0.49623378904278154,,-8.869840491920744e-06,0.003775080797710384,0.0037662109572184632
xk_1,0.5,0.4958927747071226,0.4959056879607296,,-1.2913253606972042e-05,0.004107225292877381,0.004094312039270409
xk_1,0.5,0.4937355391979826,0.4937502963232116,,-1.4757125229025725e-05,0.006264460802017424,0.0062497036767883984
xk_1,0.5,0.4932684916450804,0.49316441796674343,,0.00010407367833698,0.006731508354919591,0.006835582033256571
xk_1,0.5,0.4972480850818881,0.4970849332267266,,0.0001631518551615252,0.0027519149181118863,0.0029150667732734115
xk_1,0.5,0.4972610858068376,0.49711809934113127,,0.00014298646570631846,0.0027389141931624117,0.00288190065886873
xk_1,0.5,0.4943506001374249,0.49426110453342836,,8.949560399651446e-05,0.005649399862575122,0.005738895466571636
xk_1,0.5,0.4639689484029775,0.4639621819284539,,6.766474523578481e-06,0.03603105159702252,0.0360378180715461
xk_1,0.5,0.4789174179940725,0.47879445916732344,,0.00012295882674906444,0.021082582005927497,0.02120554083267656
xk_1,0.5,0.4880870658036647,0.4879489301484932,,0.00013813565517145632,0.011912934196335323,0.01205106985150678
xk_1,0.5,0.49491224698952274,0.4948079283373301,,0.00010431865219262537,0.005087753010477258,0.005192071662669884
xk_1,0.5,0.4978081373083092,0.497735700247728,,7.243706058118748e-05,0.0021918626916908046,0.002264299752271992
xk_1,0.5,0.49877655505919716,0.4987297199057762,,4.683515342096545e-05,0.0012234449408028425,0.001270280094223808
xk_1,0.5,0.49954824272234033,0.4995164675855442,,3.1775136796141634e-05,0.0004517572776596701,0.00048353241445581174
xk_1,0.5,0.49643992812387167,0.49641736981744256,,2.2558306429110164e-05,0.0035600718761283345,0.0035826301825574447
xk_1,0.5,0.4793796757181152,0.4792636209356865,,0.00011605478242870948,0.020620324281884816,0.020736379064313526
xk_1,0.5,0.48750073295687796,0.4873163007734414,,0.00018443218343655587,0.012499267043122042,0.012683699226558598
xk_1,0.5,0.49162029646720595,0.4914683109916821,,0.00015198547552386366,0.008379703532794047,0.008531689008317911
xk_1,0.5,0.49427550029525735,0.49414694849149565,,0.0001285518037617006,0.005724499704742647,0.005853051508504348
xk_1,0.5,0.49430155561720646,0.4942123442975895,,8.921131961697748e-05,0.005698444382793544,0.005787655702410521
xk_1,0.5,0.4952450193446847,0.4951879234649537,,5.709587973096175e-05,0.004754980655315322,0.0048120765350462835
