Parameter,Actual values,Case 2 : CE,Case3 : Dual,,diffrence in controlers,CE offset,Dual offse
xk_1,0.5,0.5,0.5,,0.0,0.0,0.0
xk_1,0.5,0.5000013410474953,0.5000013410474953,,0.0,-1.3410474952735285e-06,-1.3410474952735285e-06
xk_1,0.5,0.5000012445369042,0.5000012445369042,,0.0,-1.2445369041991228e-06,-1.2445369041991228e-06
xk_1,0.5,0.500000803895697,0.500000803895697,,0.0,-8.038956970102262e-07,-8.038956970102262e-07
xk_1,0.5,0.5000004148238688,0.4953966082268239,,0.004603806597044902,-4.1482386881064315e-07,0.004603391773176091
xk_1,0.5,0.5000001682553049,0.4965828258475306,,0.003417342407774304,-1.6825530491093588e-07,0.0034171741524693933
xk_1,0.5,0.5000000421024776,0.49812031224179,,0.001879729860687629,-4.2102477615379996e-08,0.0018796877582100135
xk_1,0.5,0.4999999902665959,0.4991543992975735,,0.000845590969022425,9.733404082723496e-09,0.0008456007024265078
xk_1,0.5,0.49999997579697486,0.49971106821576516,,0.0002889075812096964,2.4203025139613032e-08,0.000288931784234836
xk_1,0.5,0.4999999764764458,0.499955479026572,,4.449744987378157e-05,2.3523554215643117e-08,4.452097342799721e-05
xk_1,0.5,0.49999998200663953,0.5000353617986515,,-3.537979201195807e-05,1.7993360468260278e-08,-3.5361798651489806e-05
xk_1,0.5,0.49999998646174487,0.5000448789290768,,-4.489246733191399e-05,1.3538255128064947e-08,-4.487892907678592e-05
xk_1,0.5,0.49999998884625874,0.5000320680395298,,-3.2079193271083994e-05,1.1153741263925099e-08,-3.206803952982007e-05
xk_1,0.5,0.49999998977044546,0.5000178639342041,,-1.787416375864659e-05,1.0229554536778096e-08,-1.786393420410981e-05
xk_1,0.5,0.49999998978174415,0.5000082348348065,,-8.245053062350127e-06,1.0218255852567637e-08,-8.23483480649756e-06
xk_1,0.5,0.4999999892547826,0.5000029998190637,,-3.01056428109181e-06,1.0745217382535088e-08,-2.9998190637092748e-06
xk_1,0.5,0.49999998841495624,0.5000006380126353,,-6.495976790366065e-07,1.1585043757644797e-08,-6.380126352789617e-07
xk_1,0.5,0.49999998739169,0.4999998009039768,,1.8648771321627677e-07,1.260831000715612e-08,1.990960232234329e-07
xk_1,0.5,0.49999998590055894,0.49999963139433906,,3.545062198795357e-07,1.4099441059123308e-08,3.68605660938659e-07
xk_1,0.5,0.49999998512348903,0.4999996871940083,,2.9792948075257897e-07,1.4876510967543055e-08,3.12805991720122e-07
xk_1,0.5,0.49999998399246476,0.49999977818717317,,2.0580529158653604e-07,1.600753524177989e-08,2.2181282682831593e-07
xk_1,0.5,0.49999998274757934,0.4999998458585152,,1.3688906413955593e-07,1.725242065875321e-08,1.5414148479830914e-07
xk_1,0.5,0.49999998150000485,0.49999987981484595,,1.0168515890418561e-07,1.8499995146914472e-08,1.2018515405110008e-07
xk_1,0.5,0.4999999799351069,0.4999998925493481,,8.738575879574384e-08,2.0064893080373736e-08,1.0745065187611758e-07
xk_1,0.5,0.499999979203077,0.4999998945977059,,8.460537109789001e-08,2.079692301704128e-08,1.054022941149313e-07
xk_1,0.5,0.4999999782070843,0.49999989222675567,,8.598032863460503e-08,2.1792915694263115e-08,1.0777324432886815e-07
xk_1,0.5,0.5076750278963019,0.5076749431498621,,8.474643986566832e-08,-0.0076750278963019225,-0.007674943149862057
xk_1,0.5,0.5138419672662606,0.513885957734426,,-4.3990468165389096e-05,-0.013841967266260635,-0.013885957734426024
xk_1,0.5,0.515179059067231,0.5152401574684742,,-6.109840124313148e-05,-0.015179059067231049,-0.01524015746847418
xk_1,0.5,0.5151149387971502,0.5010044441689315,,0.014110494628218673,-0.015114938797150201,-0.0010044441689315287
xk_1,0.5,0.5146465986065832,0.5080722047308421,,0.0065743938757411025,-0.014646598606583239,-0.008072204730842136
xk_1,0.5,0.514203266718396,0.5118004756143515,,0.0024027911040445105,-0.014203266718396002,-0.011800475614351491
xk_1,0.5,0.5137986387279914,0.5133098297314574,,0.0004888089965339182,-0.013798638727991364,-0.013309829731457445
xk_1,0.5,0.5133698321535745,0.5135515016048453,,-0.00018166945127084944,-0.013369832153574457,-0.013551501604845306
xk_1,0.5,0.5128659647678315,0.5131664605473241,,-0.0003004957794925378,-0.012865964767831528,-0.013166460547324066
xk_1,0.5,0.5122735254563284,0.512514276240163,,-0.0002407507838345646,-0.012273525456328427,-0.012514276240162991
xk_1,0.5,0.5116045605378722,0.5117653252784135,,-0.00016076474054127488,-0.011604560537872177,-0.011765325278413452
xk_1,0.5,0.5108830470242199,0.5107766088512842,,0.0001064381729357633,-0.010883047024219938,-0.010776608851284175
xk_1,0.5,0.5101337533507742,0.5129193586680111,,-0.0027856053172369277,-0.010133753350774155,-0.012919358668011083
xk_1,0.5,0.5093801035109995,0.5102604694699283,,-0.0008803659589288193,-0.009380103510999493,-0.010260469469928313
xk_1,0.5,0.5086390988959881,0.5087339746769435,,-9.487578095535021e-05,-0.008639098895988129,-0.008733974676943479
xk_1,0.5,0.5079228296104531,0.5077988476480896,,0.00012398196236351744,-0.007922829610453097,-0.00779884764808958
xk_1,0.5,0.5072391615268009,0.5071207211333738,,0.00011844039342712165,-0.00723916152680093,-0.0071207211333738085
xk_1,0.5,0.5065930068808818,0.5065356799769553,,5.732690392656892e-05,-0.006593006880881824,-0.006535679976955255
xk_1,0.5,0.5059866436176733,0.5059826678945017,,3.97572317156758e-06,-0.005986643617673315,-0.0059826678945017475
xk_1,0.5,0.505421791142341,0.5054487034797919,,-2.691233745089061e-05,-0.0054217911423409815,-0.005448703479791872
xk_1,0.5,0.5048985450536513,0.5049381047372982,,-3.955968364688367e-05,-0.004898545053651282,-0.004938104737298166
xk_1,0.5,0.5044161849524161,0.5044576929368445,,-4.150798442836834e-05,-0.004416184952416136,-0.004457692936844504
xk_1,0.5,0.5039733178030442,0.5040121452928988,,-3.882748985462037e-05,-0.0039733178030442184,-0.004012145292898839
xk_1,0.5,0.5035680755082305,0.503602837853919,,-3.476234568855485e-05,-0.0035680755082304616,-0.0036028378539190165
xk_1,0.5,0.5031983710667647,0.503229164506536,,-3.079343977130389e-05,-0.0031983710667646825,-0.0032291645065359864
xk_1,0.5,0.5028619671269988,0.5047107437331412,,-0.001848776606142355,-0.002861967126998821,-0.004710743733141176
xk_1,0.5,0.502556641589289,0.5041775378048085,,-0.0016208962155194184,-0.0025566415892890326,-0.004177537804808451
xk_1,0.5,0.5022801752628009,0.5033046111097931,,-0.0010244358469921888,-0.0022801752628008876,-0.0033046111097930764
xk_1,0.5,0.50203022420718,0.5025523414195747,,-0.0005221172123947015,-0.0020302242071800203,-0.002552341419574722
xk_1,0.5,0.5018045787167137,0.5020202770030854,,-0.00021569828637169053,-0.0018045787167136895,-0.00202027700308538
xk_1,0.5,0.5016011560321225,0.5016661136443866,,-6.49576122641049e-05,-0.0016011560321225193,-0.0016661136443866242
xk_1,0.5,0.5014178251483533,0.5014249134212223,,-7.088272868993606e-06,-0.0014178251483533133,-0.001424913421222307
xk_1,0.5,0.5012528952056998,0.5012465928329881,,6.302372711708415e-06,-0.0012528952056998222,-0.0012465928329881137
xk_1,0.5,0.5011046661265323,0.5011010152961577,,3.650830374568592e-06,-0.001104666126532261,-0.0011010152961576924
xk_1,0.5,0.5009716614796159,0.5009736090674441,,-1.9475878282326775e-06,-0.0009716614796159151,-0.0009736090674441478
