Parameter,Case CE
Cost,95.00613044123907
xk1,-0.05432523856080684
xk1,0.10184248629140406
xk1,0.12070582934909728
xk1,0.15178839913923725
xk1,-0.4388332222926159
xk1,-1.2905402301706987
xk1,-2.534672831715096
xk1,-3.743881633045699
xk1,1.6270645186346184
xk1,4.905831258876255
xk1,6.055354435241249
xk1,5.272632792251089
xk1,0.00894365686732829
xk1,-1.2932675425304132
xk1,0.08051979775831826
xk1,1.682679721429024
xk1,4.876816843808776
xk1,6.463855198071165
xk1,-2.750548254415422
xk1,4.559758199177366
xk2,-0.0819480548339125
xk2,0.2186200974572735
xk2,0.06976910717158658
xk2,0.034715730980416304
xk2,-0.8018267268093336
xk2,-1.368889861461169
xk2,-2.150523261382075
xk2,-2.683156333658065
xk2,6.626900774259369
xk2,4.822041988033197
xk2,1.21198441971766
xk2,1.5011913947562912
xk2,-3.9071801830917208
xk2,-0.4765416255380033
xk2,3.123600964100476
xk2,1.6593356449927148
xk2,4.132708710773356
xk2,4.301383741271765
xk2,-11.348546499231052
xk2,11.410285980759204
xk3,-0.10315765007490052
xk3,0.32869942579534717
xk3,-0.09816170407638523
xk3,0.08063315674815963
xk3,-0.9188909064752252
xk3,-1.1235571312991466
xk3,-2.208435174757654
xk3,-3.015247199074952
xk3,8.291072309326806
xk3,-0.7470945286826856
xk3,0.4809398095592463
xk3,5.922246880241909
xk3,-2.371801117415287
xk3,4.085685700646767
xk3,2.9756789791305023
xk3,-1.6668837872670728
xk3,4.953956767196049
xk3,4.665149757000257
xk3,-13.773340919053348
xk3,26.035110009761404
uk,-0.07277164954458823
uk,0.4116939218775184
uk,-0.5369952895848786
uk,-0.020206106260568343
uk,-0.9635653012114653
uk,0.7286138722065741
uk,1.4240112199985755
uk,3.8074113873539006
uk,14.429228723484789
uk,-10.698109750033613
uk,-5.863933038258598
uk,-5.599286835470045
uk,-15.811104225869352
uk,4.7669494158383054
uk,-0.17209953516518847
uk,-3.93515902007533
uk,2.8256641335712898
uk,-8.856341626367213
uk,-24.0183837544117
t1,1.0
t1,0.9998276568189166
t1,0.9914616794948168
t1,0.9981369869012678
t1,1.0080882839378107
t1,0.9711648012967417
t1,0.7693862630133437
t1,0.6320232386223293
t1,0.8899254829778289
t1,0.7562609592809513
t1,0.8411244095852628
t1,1.0756752960529212
t1,1.8567011172492287
t1,2.1536610023698852
t1,2.1566976541243577
t1,2.263465436161475
t1,1.8380264804254902
t1,1.6898334094216156
t1,2.0523063865495446
t1,2.0548645291529017
t2,-0.6
t2,-0.6001723431810834
t2,-0.6141813210426452
t2,-0.6194689825067408
t2,-0.5840113926789657
t2,-0.6606496584712119
t2,-0.6638982787147106
t2,-0.46553820206312707
t2,0.2145021365777609
t2,0.5970326109435617
t2,0.6621525493603378
t2,0.9733076378876377
t2,1.521115083968698
t2,1.5305620669187767
t2,1.461852470283621
t2,1.4306215716951232
t2,-0.06076900465788038
t2,0.09747804905046731
t2,1.072136913086943
t2,1.0748201597644749
t3,0.3
t3,0.29998276568189164
t3,0.2977652003160911
t3,0.2957162860244135
t3,0.29557557205576906
t3,0.276756453198882
t3,0.3155304358855361
t3,0.34990675554611783
t3,0.39234102699928963
t3,0.36766301118441097
t3,0.42380489629295776
t3,0.36079713282039033
t3,0.3234332844025306
t3,0.2944538522204766
t3,0.29688635997128676
t3,0.3157604778116688
t3,0.444950061572796
t3,0.4489687318003315
t3,0.5329140313736741
t3,0.5334578692736359
t4,0.1
t4,0.10009765261637987
t4,0.10242485750455421
t4,0.10348534621623329
t4,0.10415006346221432
t4,0.11994504146503057
t4,0.11218711903562029
t4,0.10912433362119058
t4,0.05143547453557942
t4,0.15353645126732318
t4,0.03862447165427216
t4,0.03920498010228991
t4,0.2299223790759104
t4,0.23203909401654524
t4,0.24481408921563705
t4,0.2920920740452127
t4,0.4288964160683453
t4,0.4512597999783368
t4,0.29496953269466597
t4,0.2954560728849048
t5,0.7
t5,0.7000976526163798
t5,0.702550015916168
t5,0.703889906959748
t5,0.7047862915833286
t5,0.7169968615600489
t5,0.6997292413812704
t5,0.6926372128898967
t5,0.6446901844456013
t5,0.7580510947195985
t5,0.7463436698834219
t5,0.5691638098636138
t5,0.48515157163376427
t5,0.5399926025635524
t5,0.47070313127869406
t5,0.48588178522545605
t5,0.3747530766776648
t5,0.3865907538403819
t5,0.2134425231343064
t5,0.21417544258890334
t6,1.5
t6,1.5009765261637986
t6,1.523622459434491
t6,1.532290716365527
t6,1.5240925233531135
t6,1.6790324145734068
t6,1.6083149643109993
t6,1.4864290549876893
t6,0.6006548949324884
t6,1.6459417846360014
t6,1.621976636520788
t6,1.6846301642702435
t6,1.243459090651346
t6,1.5405256096526798
t6,1.691426838626997
t6,1.6218133558590413
t6,2.1157505632273237
t6,2.1585880990512405
t6,1.4064362610834513
t6,1.4128219137328264
