Parameter,Case Opt
Cost,[2.8094477]
xk1,0.15550084304082898
xk1,0.14636296834013068
xk1,-0.03598303403514614
xk1,-0.9085866699499484
xk1,-0.09729275007598928
xk1,0.5337405491106583
xk1,0.7373563150463345
xk1,-0.7244784803347368
xk1,-1.0244221120039663
xk1,-0.6496570147859849
xk1,2.2980025662134675
xk1,2.2394156103017573
xk1,-0.8546721307080705
xk1,-6.784062053224534
xk1,-2.033041423375044
xk1,8.126202956501341
xk1,14.774575521115347
xk1,1.4427178437432444
xk1,0.33191191259663355
xk1,0.0
xk2,0.17033874968503881
xk2,0.05264401470247962
xk2,-1.3421254823327298
xk2,-0.6280114855202041
xk2,0.17034461299367043
xk2,0.7311570619417264
xk2,-0.28390762716366014
xk2,-1.668141593648895
xk2,-2.5142208951070995
xk2,0.2606349862979659
xk2,2.5099365543252055
xk2,0.2472959566304407
xk2,-7.1544704476051555
xk2,-6.545150103371333
xk2,4.603248008015755
xk2,16.15560864806472
xk2,6.122874462810523
xk2,-13.139531673732314
xk2,1.255994062811541
xk2,0.0
xk3,0.1971017333111449
xk3,-0.026546386248006516
xk3,-0.9009363475678135
xk3,0.7534164412931951
xk3,0.10977166880757344
xk3,0.6354314252745233
xk3,-0.7500325715865434
xk3,-1.0519314013895975
xk3,-1.7718348941500268
xk3,2.445192378226357
xk3,2.1133902057838596
xk3,-0.6664406674471198
xk3,-7.15768762892577
xk3,-0.23318839489966617
xk3,7.250282589517197
xk3,12.589371956519157
xk3,-4.477913919065167
xk3,-9.942604310360302
xk3,18.81133113868775
xk3,0.0
uk,0.009261920569232189
uk,-0.804674103371488
uk,1.78617218825032
uk,0.8604726486751448
uk,2.704594629760603
uk,0.682404128001047
uk,-0.8311878533250774
uk,-1.5477094970240552
uk,4.4205892001080835
uk,5.804022440619149
uk,3.72358773538673
uk,-5.646753931620477
uk,-2.519600769743748
uk,5.715858576268824
uk,19.456419044535828
uk,1.878732382069728
uk,-21.577240592049886
uk,-31.54365430474769
uk,22.85103861606213
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
