Parameter,Case Opt
Cost,[2.90806085]
xk1,-0.0569611307538157
xk1,0.24749564144566552
xk1,0.2216334703189124
xk1,-0.4218675244765274
xk1,-0.24167383037821327
xk1,0.9961881067683188
xk1,0.08709097661694783
xk1,-0.5228564906658901
xk1,-1.2878814246292958
xk1,-0.8839217262278989
xk1,2.310804775582732
xk1,2.4071914325211816
xk1,-0.9281648431455656
xk1,-6.12308048921081
xk1,-2.331673193753102
xk1,9.759520685421531
xk1,15.543154516942401
xk1,7.152554666256668
xk1,1.1774850544522055
xk1,0.0
xk2,0.16481857217098822
xk2,0.5347006540693146
xk2,-0.9189439313597991
xk2,-1.1394361664438162
xk2,-0.2960093801891962
xk2,-0.6552807841969178
xk2,-1.0066073451677893
xk2,-2.693170802600394
xk2,-3.456903981647565
xk2,-0.4129572657851906
xk2,1.72027670005336
xk2,-0.9792289047474484
xk2,-8.379899591851473
xk2,-8.536424021385528
xk2,3.131954360733332
xk2,15.106005872503776
xk2,6.645058422094268
xk2,-13.148531674193553
xk2,-1.4592457043869125
xk2,0.0
xk3,0.275106411385346
xk3,0.25466806906250106
xk3,-1.060369288769
xk3,-0.018288800479882805
xk3,0.602858604738728
xk3,-0.5629978167927662
xk3,0.4386745970862794
xk3,-2.1433944801308207
xk3,-1.499342603064799
xk3,2.44050778466335
xk3,1.706191113286294
xk3,-1.2281414723296205
xk3,-7.069953244577221
xk3,-1.3413123982841417
xk3,8.390269633322328
xk3,12.680822927995441
xk3,-1.1558251704966667
xk3,-9.981768341552714
xk3,20.530207060208514
xk3,0.0
uk,0.700718311535164
uk,-2.6251411891776293
uk,0.5351492718623748
uk,1.5418152609759714
uk,2.6816439093583266
uk,3.8075865961080564
uk,-0.17594784658109314
uk,1.9106740093124595
uk,6.198278581708491
uk,7.785537185103019
uk,6.022370954390842
uk,-2.87196692121081
uk,0.06982010800770803
uk,10.928976829632285
uk,21.97086618151559
uk,9.20315178830168
uk,-22.502274991997826
uk,-22.068449438964382
uk,12.646461126285896
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
