Parameter,Case Opt,Case CE,Case Dual
t3,0.58,0.3122343553,0.2293436996
t3,0.58,0.3199355891,0.1990999369
t3,0.58,0.2574999464,0.1847866267
t3,0.58,0.2404057991,0.232532525
t3,0.58,0.211359149,0.0893791444
t3,0.58,0.1897399951,0.1052370473
t3,0.58,0.071328335,0.0199291808
t4,0.3,0.1,0.1
t4,0.3,0.0999874897,0.1000476116
t4,0.3,0.1001247615,0.1009192227
t4,0.3,0.0976132093,0.0975313868
t4,0.3,0.1093235316,0.082864998
t4,0.3,0.092906142,0.0160084516
t4,0.3,0.0630121983,0.1040428477
t4,0.3,0.0570604455,0.0873286543
t4,0.3,0.0687676768,0.0853041393
t4,0.3,0.0935781346,0.0806303557
t4,0.3,0.0896251105,0.0534852103
t4,0.3,0.1595336801,0.0467293607
t4,0.3,0.0760677583,0.0429469629
t4,0.3,0.0807943724,0.0403125893
t4,0.3,0.0649198879,0.0425333416
t4,0.3,0.0564120917,0.0267526613
t4,0.3,-0.0033296591,-0.021545971
t4,0.3,-0.0695874506,0.0534277475
t4,0.3,-0.0713402162,0.0531140804
t4,0.3,0.1270633253,0.0160668929
t5,0.5,0.7,0.7
t5,0.5,0.6999874897,0.7000476116
t5,0.5,0.7001097404,0.7003564938
t5,0.5,0.6974156619,0.6966202622
t5,0.5,0.7068059506,0.6876394073
t5,0.5,0.6799785837,0.6413605757
t5,0.5,0.6494629806,0.7235616636
t5,0.5,0.6449421142,0.8653059525
t5,0.5,0.6889860426,0.8638531759
t5,0.5,0.7053782195,0.8679872607
t5,0.5,0.7807096596,0.8595254451
t5,0.5,0.8338862842,0.8445344094
t5,0.5,0.823306763,0.8544677696
t5,0.5,0.8568129975,0.8478636071
t5,0.5,0.8964208825,0.8591374368
t5,0.5,0.8737612708,0.8603811772
t5,0.5,0.8905341937,0.8278340725
t5,0.5,0.9070638745,0.8873857639
t5,0.5,0.9612644661,0.8856508068
t5,0.5,0.9640379372,0.8220182845
t6,1,1.5,1.5
t6,1,1.4998748968,1.5004761163
t6,1,1.5013227438,1.5120086548
t6,1,1.4766765537,1.4776609827
