Parameter,Case Opt,Case CE,Case Dual
Cost,1.51743719,22.120654979,572.64267066
xk1,0,0.116523793,0
xk1,0.2271713766,0.3731237204,-0.2165123518
xk1,0.0552090598,0.4800999242,-0.3478285963
xk1,-0.3088240727,0.6357044088,-0.7580687413
xk1,-0.2314985855,0.593699494,-1.3274711217
xk1,-0.0570286858,0.5289481793,-1.9172583239
xk1,0.4054280393,0.5445695647,-1.4093383813
xk1,0.4945789874,0.3746939637,-1.2394449973
xk1,-0.1032091737,0.6622588293,-0.9714935552
xk1,-2.0372858022,1.7491329145,-1.1282819088
xk1,-0.6034095874,2.3700385459,-1.084909351
xk1,2.1501215818,0.3769286403,-1.5697712217
xk1,3.0453305244,-2.3923287791,-1.9491913857
xk1,-1.0041142648,-4.9725235268,-2.7660677582
xk1,-7.0727922202,-2.9681507478,-2.4163160634
xk1,-1.3424525498,4.6949832291,-2.9331138683
xk1,9.1532185458,14.1155681497,-3.7971621061
xk1,14.4955289503,16.7686941178,-7.4177910165
xk1,5.3795917047,6.468587047,-19.7443191894
xk1,-0.6605259592,4.526474984,-21.9126949873
xk2,0,0.1757728321,0
xk2,0.1722010694,0.4234361099,-0.3266027875
xk2,-0.2256035812,0.2573763297,-0.2656579057
xk2,-0.3627951823,0.3876931558,-0.689405597
xk2,-0.7724165363,0.2640779593,-1.1619315343
xk2,-0.2655728401,0.2083366648,-1.3638977706
xk2,0.4753951306,0.3462614497,0.0291753278
xk2,-0.1369806254,0.0549984915,-0.5159130249
xk2,-2.5092431066,0.6405970879,-0.6469887536
xk2,-1.9968443526,1.9937158353,-0.7904049098
xk2,1.1348919295,1.4967635022,-0.4339367621
xk2,3.6321650727,-2.2814350273,-1.256123868
xk2,0.2552585169,-3.5194874223,-1.3804841523
xk2,-7.1243552501,-3.5224514555,-2.0018076
xk2,-6.0146250753,1.5943510535,-0.6717136431
xk2,4.3197124267,9.6538576027,-1.9663519044
xk2,15.6202423026,13.6381965757,-3.0584847434
xk2,7.2382332564,6.8725385326,-7.0662440177
