Parameter,Case Opt,Case CE,Case Dual
t3,0.58,0.3590441129,0.2442089031
t3,0.58,0.3578073333,0.2581867455
t3,0.58,0.330559102,0.2925641058
t3,0.58,0.3265286742,0.265801933
t3,0.58,0.3171472876,0.1928825484
t3,0.58,0.3792286355,0.2146834767
t3,0.58,0.524179555,0.2144879692
t3,0.58,0.4987332465,0.3822035337
t3,0.58,0.5005124519,0.3105534327
t4,0.3,0.1,0.1
t4,0.3,0.1003421599,0.1000118979
t4,0.3,0.1046950504,0.0999952497
t4,0.3,0.100960708,0.1004123954
t4,0.3,0.0987620115,0.0985031309
t4,0.3,0.0930475724,0.0983434769
t4,0.3,0.0605003846,0.0972223377
t4,0.3,0.0347817513,0.1017805479
t4,0.3,0.0355361925,0.0879284086
t4,0.3,0.0342966815,0.081328535
t4,0.3,0.082656858,0.0466675303
t4,0.3,0.0798885978,0.0206609652
t4,0.3,0.0824569989,0.0162238175
t4,0.3,0.0477910946,-0.0073038961
t4,0.3,0.0608971603,0.0364688021
t4,0.3,0.0870325729,0.0714188683
t4,0.3,0.1719769382,0.0134624901
t4,0.3,0.2071371296,0.0262463374
t4,0.3,0.1789924443,0.0761034759
t4,0.3,0.1518346902,0.1600229471
t5,0.5,0.7,0.7
t5,0.5,0.7003421599,0.7000118979
t5,0.5,0.7048883523,0.6999897494
t5,0.5,0.6998409982,0.7004047348
t5,0.5,0.6974891579,0.6989681272
t5,0.5,0.7019203228,0.6953667131
t5,0.5,0.6850918188,0.6946141427
t5,0.5,0.6667570076,0.698239698
t5,0.5,0.6673319606,0.6849990316
t5,0.5,0.6946477582,0.6799819692
t5,0.5,0.6864563925,0.6600010964
t5,0.5,0.6981788634,0.6472194822
t5,0.5,0.7023491055,0.6488166169
t5,0.5,0.7865799444,0.6282710496
t5,0.5,0.7947432981,0.6860473551
t5,0.5,0.7967231287,0.7968075665
t5,0.5,0.7638075894,0.7793369569
t5,0.5,0.5978573848,0.7544985952
t5,0.5,0.6120191044,0.8799347626
