Parameter,Actual values,Case 2 : CE,Case3 : Dual,,diffrence in controlers,CE offset,Dual offse
xk_1,0.5,0.5,0.5,,0.0,0.0,0.0
xk_1,0.5,0.49996678061842265,0.49996678061842265,,0.0,3.3219381577354046e-05,3.3219381577354046e-05
xk_1,0.5,0.49981788726076176,0.49981788726076176,,0.0,0.00018211273923823823,0.00018211273923823823
xk_1,0.5,0.499639136978527,0.499639136978527,,0.0,0.0003608630214729791,0.0003608630214729791
xk_1,0.5,0.4993441532999539,0.4993441532999539,,0.0,0.0006558467000460921,0.0006558467000460921
xk_1,0.5,0.4990089334935032,0.4990089334935032,,0.0,0.0009910665064967739,0.0009910665064967739
xk_1,0.5,0.5002097745320501,0.5002097745320501,,0.0,-0.00020977453205006658,-0.00020977453205006658
xk_1,0.5,0.4993519472058751,0.4993519472058751,,0.0,0.000648052794124887,0.000648052794124887
xk_1,0.5,0.49816858506790623,0.49816858506790623,,0.0,0.0018314149320937667,0.0018314149320937667
xk_1,0.5,0.49739146321637245,0.498780747455886,,-0.0013892842395135663,0.0026085367836275464,0.00121925254411398
xk_1,0.5,0.49680086701211185,0.49731350424595183,,-0.0005126372338399854,0.0031991329878881536,0.002686495754048168
xk_1,0.5,0.4968608472553196,0.496975023480683,,-0.00011417622536341598,0.003139152744680407,0.003024976519316991
xk_1,0.5,0.4969979451443335,0.4969637128986616,,3.4232245671894646e-05,0.003002054855666514,0.0030362871013384085
xk_1,0.5,0.4977202436612677,0.49762665577943627,,9.358788183144728e-05,0.002279756338732286,0.0023733442205637334
xk_1,0.5,0.4985075834389133,0.4984329074088832,,7.467603003014078e-05,0.0014924165610866735,0.0015670925911168143
xk_1,0.5,0.49893737527348786,0.49888830504335085,,4.9070230137004955e-05,0.0010626247265121402,0.0011116949566491452
xk_1,0.5,0.4981560311548781,0.4981285885722057,,2.7442582672398963e-05,0.0018439688451218905,0.0018714114277942895
xk_1,0.5,0.4958017693590699,0.4957864112748933,,1.535808417657547e-05,0.004198230640930112,0.004213588725106687
xk_1,0.5,0.49563759005259617,0.4956285234240398,,9.066628556375633e-06,0.004362409947403834,0.004371476575960209
xk_1,0.5,0.49798274995501896,0.4979767511966172,,5.9987584017373585e-06,0.002017250044981045,0.0020232488033827822
xk_1,0.5,0.49682015147997505,0.4968153143501937,,4.837129781332106e-06,0.0031798485200249527,0.0031846856498062848
xk_1,0.5,0.4960450275360895,0.49599919104998397,,4.58364861055105e-05,0.003954972463910522,0.004000808950016033
xk_1,0.5,0.49678067830310063,0.49678293554357134,,-2.2572404707044136e-06,0.0032193216968993688,0.0032170644564286643
xk_1,0.5,0.4956711664051095,0.49568677129429944,,-1.560488918994629e-05,0.004328833594890502,0.004313228705700556
xk_1,0.5,0.49473052611768775,0.4947434954181149,,-1.2969300427156938e-05,0.005269473882312248,0.005256504581885091
xk_1,0.5,0.4926276837586823,0.49263506219630104,,-7.378437618721367e-06,0.007372316241317678,0.0073649378036989566
xk_1,0.5,0.4913437097162279,0.49134698835081975,,-3.278634591818985e-06,0.008656290283772072,0.008653011649180253
xk_1,0.5,0.4927450851864472,0.4927458655694234,,-7.80382976184324e-07,0.007254914813552782,0.007254134430576598
xk_1,0.5,0.49445067813436755,0.4944504287721978,,2.4936216974635883e-07,0.0055493218656324506,0.005549571227802197
xk_1,0.5,0.4949961282424469,0.49499554166734994,,5.86575096939157e-07,0.005003871757553124,0.005004458332650064
xk_1,0.5,0.49635984887872076,0.4963591089525188,,7.399262019758268e-07,0.003640151121279245,0.0036408910474812206
xk_1,0.5,0.49816580626981544,0.49816506600261,,7.402672054235282e-07,0.0018341937301845634,0.001834933997389987
xk_1,0.5,0.4993624195615755,0.4993617868830095,,6.326785660371037e-07,0.0006375804384244899,0.000638213116990527
xk_1,0.5,0.5004712815222113,0.5004707243211581,,5.572010531862404e-07,-0.0004712815222113198,-0.00047072432115813356
xk_1,0.5,0.5022772244971337,0.5022767450514962,,4.794456375245559e-07,-0.002277224497133745,-0.0022767450514962206
xk_1,0.5,0.5031973866433238,0.5031969851327827,,4.015105411481201e-07,-0.0031973866433238074,-0.0031969851327826593
xk_1,0.5,0.503867128266616,0.5038667538001392,,3.744664767157957e-07,-0.003867128266615949,-0.003866753800139233
xk_1,0.5,0.5072656554207206,0.5072652922689508,,3.631517697666453e-07,-0.0072656554207205515,-0.007265292268950785
