Parameter,Case Opt,Case CE,Case Dual
t3,0.58,0.1112342668,0.1390407632
t3,0.58,0.1369656153,0.1390407368
t3,0.58,-0.011852407,0.1729157978
t3,0.58,-0.1633610648,0.1895495168
t3,0.58,-0.3023093472,0.1104573775
t3,0.58,-0.381708123,0.1577436431
t4,0.3,0.1,0.1
t4,0.3,0.1011914821,0.1000090754
t4,0.3,0.0975280193,0.1000046938
t4,0.3,0.0767223937,0.0998123969
t4,0.3,0.0295779177,0.0994387681
t4,0.3,0.1027642077,0.0983339088
t4,0.3,0.1001032086,0.0960283177
t4,0.3,0.1058683285,0.0995358101
t4,0.3,0.159507705,0.0934108493
t4,0.3,0.158302874,0.0974301459
t4,0.3,0.0830298213,0.0739549674
t4,0.3,0.085950804,0.0825141366
t4,0.3,0.0665589102,0.0521634938
t4,0.3,-0.0190812946,0.0542052231
t4,0.3,-0.0226940659,0.1180863577
t4,0.3,0.0317305761,0.1180863584
t4,0.3,-0.0675348494,0.0986059164
t4,0.3,-0.0380487402,0.0927996249
t4,0.3,-0.0689272546,0.0606331809
t4,0.3,0.1037597906,0.1611095276
t5,0.5,0.7,0.7
t5,0.5,0.7011914821,0.7000090754
t5,0.5,0.6963459547,0.7000034633
t5,0.5,0.6756379104,0.6998131593
t5,0.5,0.6402888028,0.6989956427
t5,0.5,0.6978620227,0.6981472396
t5,0.5,0.686759949,0.6953946455
t5,0.5,0.6876592017,0.6974167528
t5,0.5,0.7790249996,0.6957613481
t5,0.5,0.7791563985,0.6974824128
t5,0.5,0.759272266,0.6793232653
t5,0.5,0.7646608524,0.6873550264
t5,0.5,0.718670829,0.6625568879
t5,0.5,0.6511508747,0.6653921228
t5,0.5,0.6410328591,0.7290686148
t5,0.5,0.6583323549,0.7290685962
t5,0.5,0.5659182472,0.6962910048
t5,0.5,0.6154381489,0.6911924356
t5,0.5,0.5959950682,0.6454217111
t5,0.5,0.6271606989,0.7379919447
t6,1,1.5,1.5
t6,1,1.5119148205,1.5000907539
t6,1,1.4813032464,1.5000531192
t6,1,1.2463568895,1.4980323472
t6,1,0.7171628279,1.4963258921
t6,1,1.4290519573,1.4881518183
t6,1,1.4131169243,1.4640799484
t6,1,1.3976927556,1.5055282969
t6,1,1.1954837406,1.4550776026
t6,1,1.1905565395,1.4764085604
t6,1,1.190799564,1.3252875114
t6,1,1.2431871587,1.4055793578
t6,1,1.102700694,1.1283352834
t6,1,0.9251122301,1.1623018945
t6,1,0.9180634338,1.6085442695
t6,1,0.977099237,1.60854402
t6,1,0.7399325655,1.6082226775
t6,1,1.2202138783,1.5363712813
t6,1,0.8903520335,0.9461077311
t6,1,1.3467315581,1.5315830988
