Parameter,Actual values,Case 2 : CE,Case3 : Dual,,diffrence in controlers,CE offset,Dual offset
xk_1,0.5,0.5,0.5,,0.0,0.0,0.0
xk_1,0.5,0.5001218375624055,0.5001218375624055,,0.0,-0.00012183756240546906,-0.00012183756240546906
xk_1,0.5,0.5004428192277186,0.5004428192277186,,0.0,-0.00044281922771860494,-0.00044281922771860494
xk_1,0.5,0.5008234484359765,0.5008234484359765,,0.0,-0.0008234484359764815,-0.0008234484359764815
xk_1,0.5,0.4999746214122777,0.4999746214122777,,0.0,2.5378587722280077e-05,2.5378587722280077e-05
xk_1,0.5,0.4985479828621793,0.4985479828621793,,0.0,0.001452017137820727,0.001452017137820727
xk_1,0.5,0.49820249891305635,0.49820249891305635,,0.0,0.0017975010869436536,0.0017975010869436536
xk_1,0.5,0.4986231698661161,0.4986231698661161,,0.0,0.0013768301338838995,0.0013768301338838995
xk_1,0.5,0.4973792377471302,0.4973792377471302,,0.0,0.0026207622528697794,0.0026207622528697794
xk_1,0.5,0.4986036644023477,0.4986036644023477,,0.0,0.0013963355976522873,0.0013963355976522873
xk_1,0.5,0.5003857179050678,0.5003857179050678,,0.0,-0.0003857179050678061,-0.0003857179050678061
xk_1,0.5,0.5014229247830528,0.5014229247830528,,0.0,-0.0014229247830528369,-0.0014229247830528369
xk_1,0.5,0.5018088772966774,0.5018088772966774,,0.0,-0.001808877296677447,-0.001808877296677447
xk_1,0.5,0.5020866932547123,0.5020866932547123,,0.0,-0.002086693254712335,-0.002086693254712335
xk_1,0.5,0.5003098069836096,0.5003098069836096,,0.0,-0.00030980698360960623,-0.00030980698360960623
xk_1,0.5,0.4973207889377005,0.4973207889377005,,0.0,0.0026792110622995136,0.0026792110622995136
xk_1,0.5,0.49491423222165615,0.49491423222165615,,0.0,0.005085767778343853,0.005085767778343853
xk_1,0.5,0.4960263881182206,0.4960263881182206,,0.0,0.003973611881779415,0.003973611881779415
xk_1,0.5,0.4985129945652889,0.4985129945652889,,0.0,0.0014870054347110861,0.0014870054347110861
xk_1,0.5,0.49917426908442813,0.49917426908442813,,0.0,0.0008257309155718651,0.0008257309155718651
xk_1,0.5,0.4997377910479809,0.4997377910479809,,0.0,0.0002622089520191162,0.0002622089520191162
xk_1,0.5,0.4987180982126022,0.4987180982126022,,0.0,0.0012819017873977878,0.0012819017873977878
xk_1,0.5,0.49966844432879187,0.49966844432879187,,0.0,0.000331555671208128,0.000331555671208128
xk_1,0.5,0.4983917301200555,0.4983917301200555,,0.0,0.0016082698799445017,0.0016082698799445017
xk_1,0.5,0.49900719685867634,0.49900719685867634,,0.0,0.0009928031413236615,0.0009928031413236615
xk_1,0.5,0.49966816732759317,0.49966816732759317,,0.0,0.0003318326724068288,0.0003318326724068288
xk_1,0.5,0.49798921685396996,0.49798921685396996,,0.0,0.0020107831460300374,0.0020107831460300374
xk_1,0.5,0.4978860770539601,0.4978860770539601,,0.0,0.0021139229460399034,0.0021139229460399034
xk_1,0.5,0.4977529760884017,0.4977529760884017,,0.0,0.0022470239115983115,0.0022470239115983115
xk_1,0.5,0.49725398361317485,0.49725398361317485,,0.0,0.0027460163868251453,0.0027460163868251453
xk_1,0.5,0.4976866131663206,0.4976866131663206,,0.0,0.002313386833679376,0.002313386833679376
xk_1,0.5,0.4984095807923652,0.4984095807923652,,0.0,0.0015904192076348078,0.0015904192076348078
xk_1,0.5,0.49855805968574823,0.49855805968574823,,0.0,0.0014419403142517662,0.0014419403142517662
xk_1,0.5,0.4978489506884727,0.4978489506884727,,0.0,0.00215104931152732,0.00215104931152732
xk_1,0.5,0.49917063778518556,0.49917063778518556,,0.0,0.0008293622148144442,0.0008293622148144442
xk_1,0.5,0.49894806611612197,0.49894806611612197,,0.0,0.0010519338838780312,0.0010519338838780312
xk_1,0.5,0.49705726541202355,0.49705726541202355,,0.0,0.0029427345879764477,0.0029427345879764477
xk_1,0.5,0.49739202813283756,0.49739202813283756,,0.0,0.0026079718671624397,0.0026079718671624397
