Parameter,Case CE
Cost,300.01927398255816
xk1,-0.07034999155163642
xk1,0.007701314169842364
xk1,0.444498184389164
xk1,0.9988682455460908
xk1,1.5136509167496046
xk1,1.758208168260422
xk1,1.2279514982692226
xk1,0.912900302148294
xk1,0.6625762956601229
xk1,0.7643450364580383
xk1,0.5079128446921615
xk1,-0.7862886866159403
xk1,-3.703177597136336
xk1,-5.171129996515988
xk1,0.1717336340887768
xk1,7.553897229637894
xk1,20.557175106076418
xk1,31.23948143224999
xk1,-3.9477610842876905
xk1,-16.366778363605476
xk2,-0.10612094973093088
xk2,0.09578242673875734
xk2,0.6736401521188654
xk2,0.9322121258034369
xk2,1.0186707607866035
xk2,0.9453946311792586
xk2,0.03910141022639657
xk2,0.31531728349480825
xk2,0.4295788802426742
xk2,0.5670356327391379
xk2,-0.050705475537004795
xk2,-1.6816340357259834
xk2,-4.385784598050331
xk2,-3.064554436320035
xk2,6.475037035532046
xk2,9.918982684790333
xk2,19.384631931712125
xk2,22.474562031553383
xk2,-41.59423358272599
xk2,-14.545689328944768
xk3,-0.13358691452039145
xk3,0.189849666501412
xk3,0.7294258053327237
xk3,0.7416222233402086
xk3,1.0529180847259
xk3,1.3002423667648366
xk3,0.44369224268720814
xk3,1.4232617389239066
xk3,0.8853645103670144
xk3,0.7457939018274748
xk3,-0.08621773020063861
xk3,-1.5934209342456005
xk3,-4.169848562032587
xk3,-1.823725770126079
xk3,7.151822065165705
xk3,4.624274034062498
xk3,19.456492399193767
xk3,22.99627237318603
xk3,-51.85452091097248
xk3,30.113929922854737
uk,-0.09423780024631756
uk,0.3667850005582036
uk,0.31988466994632697
uk,-0.829207311589408
uk,-1.4509291388672059
uk,-2.3894403297420266
uk,-3.6413547443528986
uk,-1.3656211571230716
uk,-2.2266325922036336
uk,-1.362317620679025
uk,-1.9444126039600844
uk,-1.834902200944418
uk,-0.3053014136568869
uk,8.182777631443878
uk,14.567922675651939
uk,-3.481501423257336
uk,-1.4415157912443264
uk,-33.230662930044254
uk,-105.92805721049643
t1,1.0
t1,0.999692729072283
t1,1.0000904527693988
t1,0.9712060643507641
t1,0.9328496117510732
t1,0.9418474052577779
t1,1.0171759243512501
t1,1.0209896200496282
t1,1.0638258927161364
t1,1.0525823103012077
t1,1.0610609111402614
t1,0.8959268064483881
t1,0.879299417454276
t1,0.834776752316877
t1,0.910080011938186
t1,0.7715073803319926
t1,1.3818819341206796
t1,1.2397472739575832
t1,1.4056555499769832
t1,1.2511775432039065
t2,-0.6
t2,-0.600307270927717
t2,-0.5995033787518198
t2,-0.617760064391423
t2,-0.5729220584642184
t2,-0.43796357436583677
t2,-0.3043403725400791
t2,-0.3060582210777638
t2,-0.3395399517703213
t2,-0.34235865869008
t2,-0.3705870435032136
t2,-0.4981362522746831
t2,-0.49543013013523457
t2,-0.2868471575021255
t2,-0.1068289219762292
t2,0.11708866043411478
t2,-0.47791426676490145
t2,-0.5893144349890778
t2,-0.5430089642339825
t2,0.027112110095675823
t3,0.3
t3,0.2999692729072283
t3,0.30009852241654733
t3,0.2991790105776476
t3,0.3112230097319814
t3,0.3281123519825364
t3,0.3545641835288393
t3,0.3615403818495029
t3,0.3740547489164405
t3,0.37676458136492813
t3,0.37302146578656237
t3,0.3827691736203369
t3,0.38469137740588594
t3,0.3940879922713509
t3,0.401396054826176
t3,0.40037160398995486
t3,0.31948184892429765
t3,0.3067100853492721
t3,0.3443675014549106
t3,0.2580868272481931
t4,0.1
t4,0.10011307721347741
t4,0.09998366159902697
t4,0.10289968756433025
t4,0.0977011948451917
t4,0.08699913949468924
t4,0.0584212595869996
t4,0.04947274453240786
t4,0.030584975282788102
t4,0.026259199259877238
t4,0.03529004208655622
t4,0.05871232375392608
t4,0.059295242334033854
t4,0.06502035468068498
t4,0.06072654256844583
t4,0.0465809431166816
t4,0.32198250743665197
t4,0.3066646996256709
t4,0.2041433101354746
t4,0.3198677949342672
t5,0.7
t5,0.7001130772134774
t5,0.699973479298789
t5,0.7018812792143637
t5,0.6943076853864315
t5,0.6843491524786285
t5,0.6690375416973853
t5,0.6644091033900633
t5,0.6813648911858481
t5,0.6795130579439527
t5,0.6845741258883801
t5,0.7115545406171341
t5,0.7119381522362445
t5,0.7069776493436913
t5,0.6752727299313513
t5,0.6811648325965124
t5,0.8428359174482428
t5,0.8303038978109677
t5,0.8639332182605737
t5,0.9500303581264501
t6,1.5
t6,1.501130772134774
t6,1.499887574422332
t6,1.537081682687096
t6,1.4861716001969547
t6,1.3302609897314692
t6,0.9870244061780354
t6,0.9014190423195313
t6,0.7630089403143727
t6,0.7485160058667406
t6,0.7716085570159934
t6,0.8951063528786174
t6,0.9025530646027131
t6,0.9498756976265529
t6,0.725889099528635
t6,1.117320141258789
t6,1.0238698001824234
t6,0.987926184875404
t6,0.33662684245087615
t6,1.0400292876320927
