Parameter,Case Opt
Cost,[1.2196409]
xk1,0.02124074856611456
xk1,0.1462491856614315
xk1,-0.023191303710164667
xk1,-0.5288478349224628
xk1,0.1016026151017228
xk1,0.5380557073043378
xk1,1.07453936515788
xk1,-1.418268238561394
xk1,-0.6016416064738705
xk1,-1.5190737759017434
xk1,3.584888409454667
xk1,0.9812552172917376
xk1,0.716787992020796
xk1,-6.874253300864174
xk1,-2.701317389445073
xk1,10.281254598079848
xk1,14.842502761167943
xk1,4.84878646409943
xk1,0.13834628505305613
xk1,0.0
xk2,0.1668504405286489
xk2,0.22747861474722578
xk2,-0.4333944860998209
xk2,-0.028051005538310355
xk2,0.544436834636323
xk2,1.2396077067507623
xk2,-0.20197737155015427
xk2,-0.45400967374527845
xk2,-1.5357256003984732
xk2,2.722819218819175
xk2,3.5449633969330563
xk2,3.111127615222351
xk2,-5.951887320036719
xk2,-5.672767360568129
xk2,6.261196306708044
xk2,15.809459491047868
xk2,7.391294919921715
xk2,-13.41855616651162
xk2,-0.4028860130312852
xk2,0.0
xk3,0.2463948597916979
xk3,0.03646679771268265
xk3,-0.5913375564792264
xk3,0.3752803691742747
xk3,0.2223894453989686
xk3,0.9565520683774444
xk3,-1.2467750539870779
xk3,0.673298516954259
xk3,-2.696234474160354
xk3,4.789242737501816
xk3,-0.3659771492308926
xk3,2.9849075694636222
xk3,-10.330308597462714
xk3,1.0881948381439708
xk3,8.100907435468173
xk3,9.640513388253305
xk3,-0.3684878861251288
xk3,-11.921088734216095
xk3,20.235527980184496
xk3,0.0
uk,0.4462112032075605
uk,-1.2106943796562146
uk,-0.3353141965548723
uk,-0.5817415145861351
uk,1.0615676722982377
uk,-0.882227011960577
uk,-1.067896827451352
uk,-4.872111629970657
uk,3.605284265368187
uk,-0.31071443814924554
uk,3.0612714145477686
uk,-14.456280099513732
uk,-2.9639220371362573
uk,0.5885073041278203
uk,14.732181457606305
uk,5.925537294102597
uk,-25.653857228109864
uk,-27.369553774482384
uk,16.538120700941636
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t1,1.8
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t2,-1.01
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t3,0.58
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t4,0.3
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t5,0.5
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
t6,1
