Parameter,Case CE
Cost,41.578209609413626
xk1,0.00448700783959689
xk1,-0.15110242007113545
xk1,-0.5674146980336471
xk1,-0.7992027336809441
xk1,-0.9827765305376731
xk1,-1.225182674492545
xk1,-2.264658509319653
xk1,-1.839480245265039
xk1,-1.1195385698135796
xk1,-0.46032214188037907
xk1,2.007250180750325
xk1,1.4193404312126303
xk1,-0.3054803596794946
xk1,-2.3418391493366157
xk1,-2.893446713353624
xk1,0.4184454973736322
xk1,7.338307841043389
xk1,12.08156586558061
xk1,7.348483559671296
xk1,4.807937498662252
xk2,0.006768507058444997
xk2,-0.23330188839143984
xk2,-0.6759341853184845
xk2,-0.497579664411098
xk2,-0.5159902600231395
xk2,-0.8590652030683715
xk2,-2.1781708905806885
xk2,-0.25160015615277054
xk2,0.38445809286060556
xk2,-0.15960482749220917
xk2,3.009241554900446
xk2,-0.29417618112205185
xk2,-2.494708356605419
xk2,-2.2228738184271273
xk2,-0.7936737859944849
xk2,3.726919232795931
xk2,9.523684216716516
xk2,8.192663565775845
xk2,-3.66053911218331
xk2,1.0067581929479315
xk3,0.008520294291193064
xk3,-0.29810276556577525
xk3,-0.6949964688251301
xk3,-0.3055834106198918
xk3,-0.7745190828591013
xk3,-1.3122635394026887
xk3,-2.7535943270890413
xk3,0.36582201969347744
xk3,-0.9169026230032365
xk3,-1.576386903294041
xk3,3.6857263823707442
xk3,-2.315188165017738
xk3,-1.3319173307308416
xk3,-0.1022275237862115
xk3,-0.5531863458116762
xk3,3.0373973062034025
xk3,7.840537606154805
xk3,5.36200976371728
xk3,-3.5492523394511335
xk3,12.387831763133692
uk,0.006010486735103163
uk,-0.22514605620271816
uk,0.020669149902638715
uk,1.2927501405475146
uk,0.9465022053090612
uk,1.3357361480943997
uk,1.2045375485995844
uk,6.330587362206215
uk,1.8106606518197745
uk,1.6373357995141293
uk,4.925151037207484
uk,-8.14980127021199
uk,-0.8038557764450055
uk,1.4284179058654045
uk,3.056299105951809
uk,7.118386123268789
uk,2.2658403391716315
uk,-14.427618073455223
uk,-25.744093373379332
t1,1.0
t1,0.9995602211710871
t1,0.99956819825491
t1,0.9868062044412298
t1,0.9641122515156386
t1,0.9673460152621945
t1,0.9679688374834433
t1,1.1395051612534735
t1,1.1489332633776743
t1,1.2415116078187467
t1,1.184057616529135
t1,1.58661617107406
t1,1.3366014731526183
t1,1.4821115801548785
t1,1.4458796403406329
t1,1.4692016612561467
t1,1.6252838182064724
t1,1.5283695693347656
t1,1.4002287752104736
t1,1.5104462195590287
t2,-0.6
t2,-0.6004397788289129
t2,-0.6004200253263564
t2,-0.6051757503202597
t2,-0.5695740879028031
t2,-0.4859390948125775
t2,-0.46405279966161644
t2,-0.20509726980448423
t2,-0.20665244756469223
t2,-0.15722136872666395
t2,-0.4652429572769463
t2,-0.04485379691119873
t2,-0.08297281977602823
t2,-0.21861888563271198
t2,-0.5380642258550452
t2,-0.5208098203599087
t2,-0.598356044669085
t2,-0.2327327248070133
t2,-0.35672418258023814
t2,-0.4439066531566573
t3,0.3
t3,0.2999560221171087
t3,0.29996128563951346
t3,0.29991667793075766
t3,0.31089141860627034
t3,0.32164722372718757
t3,0.3276122146346201
t3,0.35397056826295414
t3,0.3483319273388113
t3,0.34254100259886655
t3,0.3685055747604548
t3,0.31018621347855846
t3,0.28927917704137
t3,0.2724320304919344
t3,0.2836282851330138
t3,0.2808232780895688
t3,0.2675419597537894
t3,0.27826829114226687
t3,0.25474753848002646
t3,0.23362207454026077
t4,0.1
t4,0.10000777358320766
t4,0.10000236236042223
t4,0.09989648116446741
t4,0.09291491531931637
t4,0.08655263355167465
t4,0.08178188977531298
t4,0.03251582853990076
t4,0.0394241626055943
t4,0.033886414315259246
t4,-0.06931932751155215
t4,0.026971770092276914
t4,0.009418889005912593
t4,0.009836340120610569
t4,-0.030711346035765724
t4,-0.02872744425523666
t4,-0.07599525111285976
t4,-0.02126251605678721
t4,-0.004316958793810312
t4,-0.028045562355732467
t5,0.7
t5,0.7000077735832076
t5,0.7000023189318606
t5,0.6988230700157482
t5,0.6911893256955587
t5,0.6901978391165307
t5,0.6890715914827606
t5,0.6798464310202685
t5,0.6871198141557696
t5,0.7135178236123447
t5,0.7160265170905038
t5,0.8076920695616441
t5,0.8401797052695213
t5,0.8758635024327287
t5,0.8854692939845202
t5,0.8926277200747678
t5,0.8933964605348291
t5,0.8792715401172755
t5,0.9065909627072681
t5,0.9168138028461111
t6,1.5
t6,1.5000777358320765
t6,1.500023841033515
t6,1.5045964122918805
t6,1.4314212842890885
t6,1.3229962541929976
t6,1.2784604233140402
t6,0.9295688242062197
t6,0.9923280931812963
t6,0.8705304948790833
t6,0.6161411794277372
t6,0.9730196372569716
t6,1.243950959776416
t6,1.2032021666461121
t6,1.2861279540207011
t6,1.2708650551506175
t6,1.1177766652169228
t6,1.1006237064395314
t6,1.2372567315494563
t6,0.993326311291926
