Parameter,Case Dual
Cost,[128.94345498]
xk1,0.0
xk1,0.2524729860529462
xk1,0.4336785492448424
xk1,0.7353602721326519
xk1,1.077095161388463
xk1,1.4371903089100837
xk1,1.9095269555882428
xk1,1.5928792857224658
xk1,0.6349702843052512
xk1,0.2088478527817437
xk1,0.02210725149623559
xk1,-0.1917378901026439
xk1,-0.9180937974232124
xk1,-2.387476398645657
xk1,-3.910488545099388
xk1,-2.9280031843156253
xk1,-3.4949220562348198
xk1,-8.378551211609192
xk1,-7.067892874890036
xk1,1.954047285052674
xk2,0.0
xk2,0.38084838935309756
xk2,0.35213710682508115
xk2,0.5461304414668189
xk2,0.8175235412514426
xk2,0.9918277310815257
xk2,1.3162956286153042
xk2,0.36965894652912334
xk2,-0.6235287431056852
xk2,0.13347658214013866
xk2,0.2643401093664486
xk2,-0.37938411587244025
xk2,-1.25066917725194
xk2,-2.4062589090088355
xk2,-2.965203789162094
xk2,0.11487772564998207
xk2,-2.394007113437795
xk2,-9.877694275054004
xk2,-1.0181116679450422
xk2,11.69492783133166
xk3,0.0
xk3,0.47941826916653074
xk3,0.1946529101761354
xk3,0.6587062064497056
xk3,1.0117291831096429
xk3,1.1990217211542211
xk3,1.7169271257196375
xk3,0.5365074670971177
xk3,0.1837696343378252
xk3,1.440988565278654
xk3,0.2493913866942317
xk3,-0.7814126190169995
xk3,-1.2477668685147643
xk3,-2.319771396235048
xk3,-2.934970337006431
xk3,0.26026254542446886
xk3,-5.808158118714749
xk3,-12.362355191269016
xk3,3.5094819983105516
xk3,9.224918880416926
uk,0.33820186884852566
uk,-0.6983638271908822
uk,-0.363600761913157
uk,-1.0376005540381525
uk,-1.765331756361175
uk,-2.1309496985698093
uk,-4.1902394214164955
uk,-2.858779033507476
uk,-0.25264664301929185
uk,-1.6204038064524833
uk,-0.8061090250944769
uk,0.17297371591264019
uk,0.9092255695803682
uk,3.7131896937671596
uk,8.901138912405058
uk,0.22008093442805818
uk,2.3981804814823957
uk,26.932693840761644
uk,13.768537165793735
t1,1.0
t1,0.988433260960945
t1,0.988647245426029
t1,1.0305770945447699
t1,1.0905039866783022
t1,1.1269410049570858
t1,1.2395140730416714
t1,1.2400363452123582
t1,1.1587582886612553
t1,1.3290835154454563
t1,1.316106451642262
t1,1.256533668555151
t1,1.1865918832028153
t1,1.0919706073293007
t1,1.1340392040170997
t1,1.013237838963393
t1,2.27381055320308
t1,2.194943645242085
t1,2.1782318739227713
t1,2.206539449690834
t2,-0.6
t2,-0.611566739039055
t2,-0.6171330246843609
t2,-0.575033463089876
t2,-0.5317123121040909
t2,-0.49792303403651267
t2,-0.4200753859124873
t2,-0.4203692881707927
t2,-0.44050509279217526
t2,-0.4244258362183416
t2,-0.3675087428432437
t2,-0.4196873717160154
t2,-0.42250103415896056
t2,-0.22030629864258916
t2,0.0700321830672041
t2,0.12803343354229474
t2,0.2351772831340607
t2,-0.10362842646808243
t2,0.03490561851042509
t2,-0.22727004255858882
t3,0.3
t3,0.2988433260960945
t3,0.29752083295994347
t3,0.2983556486653091
t3,0.30763815011534296
t3,0.31834017442998097
t3,0.33946279659160644
t3,0.3401809142691943
t3,0.3384485839342882
t3,0.317850042473022
t3,0.31072683640574955
t3,0.31736067219390146
t3,0.33037873893670316
t3,0.3501616546405587
t3,0.38134104648625544
t3,0.3859382132882308
t3,0.38519983757452714
t3,0.345162639107347
t3,0.269138146852298
t3,0.3043074590584356
t4,0.1
t4,0.10158070250643714
t4,0.10246142081840746
t4,0.10006128998026735
t4,0.09024600142601413
t4,0.07943949156654773
t4,0.04784493182757525
t4,0.04690138356407313
t4,0.06841098156286382
t4,0.043676949775546474
t4,0.059390924333268286
t4,0.06728024851622245
t4,0.06496096026011251
t4,0.06018842915912403
t4,0.046273525032820444
t4,0.05966443109725357
t4,0.24391665305035826
t4,0.2907612612910576
t4,0.28319221934719657
t4,0.19431494258765453
t5,0.7
t5,0.7015807025064371
t5,0.702594487256839
t5,0.7013264575639137
t5,0.6954740900071346
t5,0.6893209662556431
t5,0.6769664141409437
t5,0.6763323734205504
t5,0.6733118098140419
t5,0.6835688868646439
t5,0.700452841324646
t5,0.7191586439585418
t5,0.7192487317062436
t5,0.7135106706095767
t5,0.6861733905390411
t5,0.7135253280834248
t5,0.8832824835408701
t5,0.9558760978316638
t5,0.9116116842974326
t5,0.9178530217178178
t6,1.5
t6,1.5158070250643714
t6,1.5239257888203936
t6,1.4852857445823051
t6,1.3892860575055788
t6,1.290881198026173
t6,1.0302695794360701
t6,1.0230300859994483
t6,1.1373812972198194
t6,1.1505463755958345
t6,1.1819025254350477
t6,1.2253626510779878
t6,1.2204333698419263
t6,1.1722624377418456
t6,0.8253602572820018
t6,1.2024774428655942
t6,1.2010002991290885
t6,1.044752319564811
t6,0.6462006911298419
t6,0.5834849408857712
