Parameter,Actual values,Case 2 : CE,Case3 : Dual,,diffrence in controlers,CE offset,Dual offse
xk_1,0.5,0.5,0.5,,0.0,0.0,0.0
xk_1,0.5,0.49995764367155654,0.49995764367155654,,0.0,4.235632844346027e-05,4.235632844346027e-05
xk_1,0.5,0.5012021593754711,0.5012021593754711,,0.0,-0.001202159375471079,-0.001202159375471079
xk_1,0.5,0.4998450370576796,0.4998450370576796,,0.0,0.00015496294232042462,0.00015496294232042462
xk_1,0.5,0.49867270006432785,0.49867270006432785,,0.0,0.0013272999356721549,0.0013272999356721549
xk_1,0.5,0.5004167547401779,0.5004167547401779,,0.0,-0.0004167547401778826,-0.0004167547401778826
xk_1,0.5,0.4997374383661867,0.4997374383661867,,0.0,0.00026256163381327413,0.00026256163381327413
xk_1,0.5,0.5005782357034875,0.5005782357034875,,0.0,-0.000578235703487473,-0.000578235703487473
xk_1,0.5,0.5012050360103892,0.5012050360103892,,0.0,-0.0012050360103892377,-0.0012050360103892377
xk_1,0.5,0.5022720521208685,0.5022720521208685,,0.0,-0.0022720521208684508,-0.0022720521208684508
xk_1,0.5,0.5042340219842839,0.5042340219842839,,0.0,-0.004234021984283909,-0.004234021984283909
xk_1,0.5,0.5045523385295457,0.5045523385295457,,0.0,-0.00455233852954573,-0.00455233852954573
xk_1,0.5,0.5022433773977802,0.5022433773977802,,0.0,-0.002243377397780244,-0.002243377397780244
xk_1,0.5,0.5031764101355614,0.5031764101355614,,0.0,-0.0031764101355613583,-0.0031764101355613583
xk_1,0.5,0.5054408391206062,0.5054408391206062,,0.0,-0.005440839120606222,-0.005440839120606222
xk_1,0.5,0.5035693548744222,0.5035693548744222,,0.0,-0.003569354874422226,-0.003569354874422226
xk_1,0.5,0.5012563625770792,0.5012563625770792,,0.0,-0.001256362577079173,-0.001256362577079173
xk_1,0.5,0.4996351441259529,0.4996351441259529,,0.0,0.00036485587404710973,0.00036485587404710973
xk_1,0.5,0.5016168933187766,0.5016168933187766,,0.0,-0.0016168933187765688,-0.0016168933187765688
xk_1,0.5,0.5033877897679147,0.5033877897679147,,0.0,-0.0033877897679146507,-0.0033877897679146507
xk_1,0.5,0.5037407739694488,0.5037407739694488,,0.0,-0.0037407739694488296,-0.0037407739694488296
xk_1,0.5,0.503284896212807,0.503284896212807,,0.0,-0.0032848962128070314,-0.0032848962128070314
xk_1,0.5,0.5029188397126286,0.5029188397126286,,0.0,-0.002918839712628629,-0.002918839712628629
xk_1,0.5,0.5011799267742908,0.5011799267742908,,0.0,-0.001179926774290796,-0.001179926774290796
xk_1,0.5,0.5033891937040625,0.5032877268112725,,0.0001014668927900031,-0.003389193704062543,-0.00328772681127254
xk_1,0.5,0.5031567677833061,0.5031101961337231,,4.657164958299376e-05,-0.0031567677833060914,-0.0031101961337230977
xk_1,0.5,0.5040948642842885,0.5040749330276889,,1.9931256599603486e-05,-0.004094864284288513,-0.0040749330276889095
xk_1,0.5,0.5048190572879263,0.5048099511578716,,9.106130054670203e-06,-0.004819057287926309,-0.004809951157871639
xk_1,0.5,0.5045499675704039,0.5045450332322743,,4.9343381296473865e-06,-0.004549967570403934,-0.004545033232274287
xk_1,0.5,0.5048909570937248,0.5048870383710315,,3.918722693230237e-06,-0.004890957093724779,-0.004887038371031549
xk_1,0.5,0.5035409367619585,0.5035370651766955,,3.871585263048871e-06,-0.0035409367619585463,-0.0035370651766954975
xk_1,0.5,0.5024009312394453,0.5023970727490107,,3.858490434605066e-06,-0.002400931239445292,-0.002397072749010687
xk_1,0.5,0.5024732298253449,0.5024695049374128,,3.7248879320994632e-06,-0.0024732298253449247,-0.0024695049374128253
xk_1,0.5,0.5023923829559506,0.5023889183946119,,3.464561338706318e-06,-0.002392382955950567,-0.002388918394611861
xk_1,0.5,0.5017449791976778,0.5017418545597393,,3.1246379385008183e-06,-0.0017449791976777984,-0.0017418545597392976
xk_1,0.5,0.4985398015341975,0.4985370015689557,,2.7999652418286836e-06,0.0014601984658024758,0.0014629984310443045
xk_1,0.5,0.498453867467335,0.49845143909720385,,2.4283701311467176e-06,0.001546132532665001,0.0015485609027961478
xk_1,0.5,0.5003730267004054,0.500370904054015,,2.1226463904344683e-06,-0.00037302670040539887,-0.0003709040540149644
xk_1,0.5,0.4999614383407422,0.49995956448205264,,1.873858689549479e-06,3.8561659257807523e-05,4.0435517947357e-05
xk_1,0.5,0.5010553678415617,0.5010537388908004,,1.6289507612787801e-06,-0.001055367841561683,-0.0010537388908004042
xk_1,0.5,0.5028690992077441,0.5028676669157814,,1.4322919626996722e-06,-0.0028690992077441413,-0.0028676669157814416
xk_1,0.5,0.5019729930164004,0.5019717227077395,,1.2703086609278103e-06,-0.001972993016400415,-0.001971722707739487
xk_1,0.5,0.5013072708257343,0.5013061592173269,,1.1116084074336285e-06,-0.0013072708257343413,-0.0013061592173269077
xk_1,0.5,0.5014503189120245,0.5014493440089733,,9.749030511763124e-07,-0.0014503189120245175,-0.0014493440089733411
xk_1,0.5,0.502196456269969,0.5021955996582339,,8.566117351005431e-07,-0.002196456269969005,-0.0021955996582339043
xk_1,0.5,0.5054924766275014,0.5054917254750477,,7.51152453681847e-07,-0.005492476627501408,-0.005491725475047726
xk_1,0.5,0.5073681634839018,0.5073674943079793,,6.6917592245197e-07,-0.007368163483901791,-0.007367494307979339
xk_1,0.5,0.504759906717343,0.5047593103830403,,5.963343027159951e-07,-0.004759906717343054,-0.004759310383040338
xk_1,0.5,0.4992089893917304,0.4992084628883094,,5.265034210277797e-07,0.0007910106082695822,0.00079153711169061
