Parameter,Case Opt,Case CE,Case Dual
t3,0.58,0.3016986313,0.5732318235
t3,0.58,0.2785438418,0.4799756895
t3,0.58,0.3058174812,0.5499765219
t3,0.58,0.2401799254,0.5594510057
t3,0.58,0.2791227974,0.4811045354
t3,0.58,0.3056983339,0.4792243303
t3,0.58,0.2745475493,0.5112668213
t4,0.3,0.1,0.1
t4,0.3,0.0998259599,0.1000117235
t4,0.3,0.101929643,0.0997886867
t4,0.3,0.0867382494,0.1020520169
t4,0.3,0.0835723498,0.0998655971
t4,0.3,0.0634834427,0.0845404809
t4,0.3,0.0503833996,0.0648704534
t4,0.3,0.0578447983,0.0308347418
t4,0.3,0.0033726033,0.150326511
t4,0.3,0.0190296453,0.239251486
t4,0.3,0.0173887334,0.2674449112
t4,0.3,0.0242042075,0.367957376
t4,0.3,0.0241016199,0.4524949378
t4,0.3,-0.0123203981,0.4551952319
t4,0.3,0.0228322944,0.4903585253
t4,0.3,-0.0215280511,0.4624699172
t4,0.3,0.0198267323,0.4983425223
t4,0.3,0.0528655025,0.4571636625
t4,0.3,-0.0173531296,0.5229231789
t4,0.3,-0.0925826479,0.5977647507
t5,0.5,0.7,0.7
t5,0.5,0.6998259599,0.7000117235
t5,0.5,0.7014766808,0.6997697758
t5,0.5,0.6843651951,0.7018572478
t5,0.5,0.6817701216,0.6979521134
t5,0.5,0.7068367302,0.6803786829
t5,0.5,0.6970132197,0.6633329379
t5,0.5,0.6945244329,0.6473680816
t5,0.5,0.7005690891,0.7732772889
t5,0.5,0.7205678995,0.7932157006
t5,0.5,0.7202243105,0.87655422
t5,0.5,0.7218403329,0.7980619774
t5,0.5,0.7203514259,0.7967911391
t5,0.5,0.7321060943,0.8191941881
t5,0.5,0.7326851609,0.8472762324
t5,0.5,0.8211033302,0.7693213219
t5,0.5,0.8759016745,0.7733099879
t5,0.5,0.8068185982,0.7703795151
t5,0.5,0.8117137329,0.8465206412
t5,0.5,0.7425032894,0.8852708946
t6,1,1.5,1.5
t6,1,1.4982595993,1.5001172346
t6,1,1.5215562955,1.4979814394
t6,1,1.3721904901,1.5220705257
t6,1,1.3333412244,1.5054466098
t6,1,1.01885656,1.3029883313
t6,1,0.9240979895,1.0731084468
t6,1,0.9660870808,0.4794140094
t6,1,0.9395923776,1.4427485584
t6,1,1.0061541703,1.4713378896
t6,1,1.0028760878,1.4164332715
t6,1,1.0018573983,1.3710258879
t6,1,0.9426982035,0.9294964142
t6,1,0.6222340421,1.1665058871
t6,1,0.6843948469,0.7148195264
t6,1,1.7295283479,0.5595156877
t6,1,1.7185082787,0.8281820031
t6,1,1.7743706901,0.2720727486
t6,1,1.4382354101,0.4616259011
t6,1,1.4498385352,0.5305731691
