Parameter,Case Opt,Case CE,Case Dual
t3,0.58,0.2520152619,0.1932701932
t3,0.58,0.2819919424,0.193549222
t3,0.58,0.3000212391,0.185489733
t3,0.58,0.2999685211,0.1855172865
t3,0.58,0.2347187868,0.1829593932
t3,0.58,0.2407049016,0.1633991731
t3,0.58,0.2130865201,0.0495660793
t3,0.58,0.2085971482,-0.0428811484
t4,0.3,0.1,0.1
t4,0.3,0.1008472547,0.1006201586
t4,0.3,0.0999043714,0.0993787797
t4,0.3,0.0885148761,0.0921048068
t4,0.3,0.0760675043,0.0627354596
t4,0.3,0.0619709537,0.0430473568
t4,0.3,0.0330836501,0.050765529
t4,0.3,0.0195778345,0.0143171712
t4,0.3,0.0556643649,0.0926123703
t4,0.3,0.0122869962,0.0005613307
t4,0.3,0.0353316004,0.0034999113
t4,0.3,0.0326830626,0.0085048822
t4,0.3,0.0347297989,0.023318753
t4,0.3,0.0341511747,0.0245630545
t4,0.3,0.0205963662,0.0426402285
t4,0.3,0.0205553298,0.0427165207
t4,0.3,-0.0295674739,0.0369935373
t4,0.3,-0.068742598,0.03672302
t4,0.3,-0.0308521541,0.0155960458
t4,0.3,-0.0344270746,-0.0741898659
t5,0.5,0.7,0.7
t5,0.5,0.7008472547,0.7006201586
t5,0.5,0.6996935218,0.6983910673
t5,0.5,0.6897061859,0.6907071863
t5,0.5,0.6792654488,0.671948575
t5,0.5,0.6812219913,0.6557803534
t5,0.5,0.6731296733,0.6579407206
t5,0.5,0.6656560053,0.6874112938
t5,0.5,0.6823331764,0.7494753198
t5,0.5,0.7104868135,0.7183146767
t5,0.5,0.7454291569,0.8016997815
t5,0.5,0.7665334209,0.806563158
t5,0.5,0.7689085164,0.8168104193
t5,0.5,0.7699727555,0.8176440995
t5,0.5,0.7562084872,0.8101195591
t5,0.5,0.7561567124,0.8101350634
t5,0.5,0.7750411644,0.8009287754
t5,0.5,0.7724717504,0.8207416497
t5,0.5,0.6007147621,0.8050701424
t5,0.5,0.6040753073,0.7236610506
t6,1,1.5,1.5
t6,1,1.5084725471,1.5062015856
t6,1,1.5001116985,1.4987909165
t6,1,1.3527271416,1.4209977068
t6,1,1.2253773868,1.0506743959
t6,1,1.0583654184,0.8644790017
t6,1,0.8807060881,0.937743228
t6,1,0.8071937169,0.7739903942
t6,1,1.0018384565,0.9580224798
t6,1,1.1063551431,1.1132220868
t6,1,1.2117420798,1.3160575302
t6,1,1.3385212928,1.2941842772
t6,1,1.3009710182,1.3581044707
t6,1,1.2460200979,1.3543026168
t6,1,1.0602407113,1.5127581071
t6,1,1.0597433811,1.5127947015
t6,1,0.8116153547,1.5250896969
t6,1,0.8946170514,1.5944794644
t6,1,1.0733294759,1.5849647348
t6,1,1.0744380386,0.343446552
