Parameter,Case 1,Case 2
Cost,1.0463700669717673,171.55547563914496
xk1,0.04826821007946964,6.015141486013317
xk1,0.11196839596880333,16.51648765571447
xk1,-0.10465461023835082,20.145605798687612
xk1,-0.613130165463732,19.020829421039398
xk1,0.3683398514383232,16.419554792469597
xk1,0.31590404992415894,14.741868541953004
xk1,1.0058394355310707,13.82843845390415
xk1,-0.27020970536320493,13.97541004684882
xk1,-1.6431677894557115,14.679081324376067
xk1,-0.24779205390357842,15.245474602550678
xk1,1.8530137770377888,15.002471276781403
xk1,3.9976034895442543,14.72476898172203
xk1,-2.263243892409846,15.54350054747223
xk1,-5.502409285785444,16.028578829103626
xk1,-3.308138268762866,16.061080822714505
xk1,9.10309516099584,14.883384812384724
xk1,14.665520561480601,13.541106260728476
xk1,5.06119553556546,14.4583478062902
xk1,-0.22945460711442994,15.612310254546756
xk1,0.0,15.470482550584679
xk2,0.16755264970629577,14.77094154532667
xk2,0.1227409658409232,8.355276566286289
xk2,-0.2883347791672951,2.977826953549433
xk2,0.4449127102918579,-0.7344423664504713
xk2,0.6833364665108516,-0.2105599717553037
xk2,1.7789842223679668,0.40733204411976764
xk2,0.6842849077828955,0.9699880378100345
xk2,-1.3315029459889742,2.4868807009700395
xk2,-1.1114863311052883,2.0946207897238107
xk2,1.5074713017872428,2.4082999354945485
xk2,4.521237334943339,0.36932574673455376
xk2,-0.1542381748686521,2.7466042266929214
xk2,-6.002858357982007,2.371892658657775
xk2,-6.877029105054549,2.292514862791765
xk2,5.378608023251211,1.5575156866986408
xk2,16.087614931417946,-0.3615515568869856
xk2,6.83935763676666,1.3715818724551334
xk2,-13.311613531815981,4.415143442703529
xk2,-0.30462884551071256,2.0125893692704793
xk2,0.0,1.358131422387842
xk3,0.23647172204860206,16.896067368012332
xk3,-0.03767314377921138,5.21912786164281
xk3,-0.44190126198565177,9.776132223346762
xk3,0.6279343443701348,12.652530123468287
xk3,-0.2349877511206574,15.445181052646786
xk3,1.6603117202325748,14.455555641726562
xk3,-1.029701913513641,13.408168715827387
xk3,-1.4849964926933394,13.721755866268161
xk3,-0.010158368187386756,12.338871387316969
xk3,1.6979778408404798,13.13686702502066
xk3,3.5677630154652533,11.263350307043288
xk3,-3.9513313030894177,14.776936119730813
xk3,-3.493541280264865,12.728438397786364
xk3,-3.4706044524717496,13.423758232488028
