Parameter,Case 1,Case 2
xk3,10.860887488914544,16.13158822140095
xk3,2.1322836751218563,10.406599292081319
xk3,-15.331547107242388,13.596380493714298
xk3,21.297904368231187,14.793141483741714
xk3,0.0,13.924165221124964
uk,0.5075866418947931,-0.8942166920622515
uk,-0.6454453370323224,-23.66820985544175
uk,-2.8259654673901418,-21.19814670151748
uk,1.1568420347231623,-16.005495986750553
uk,-2.7406940101346673,-22.457282589797064
uk,0.6143966547747874,-19.256864216831254
uk,-4.047140789717726,-17.956103168960773
uk,-1.929629292797002,-18.954641634142742
uk,0.02582467168284891,-19.209257023282618
uk,4.283953663052257,-17.79553621345228
uk,2.602771827649068,-13.228803329342878
uk,-9.151596581619481,-22.278819460662966
uk,-2.4205429030413703,-16.97216855607095
uk,5.3797261002392105,-16.828269468597
uk,17.90425490984235,-20.64144668727239
uk,8.426653802268024,-14.301078275517154
uk,-29.603943262157536,-23.95466937273671
uk,-23.53871129945984,-16.428578264406088
uk,14.493819895749017,-16.16498821504228
t1,1.8,1.0
t1,1.8,1.5405115914618315
t1,1.8,1.5372429413048705
t1,1.8,1.400713587366226
t1,1.8,1.4847115312309769
t1,1.8,1.4836456625415986
t1,1.8,1.470552656305298
t1,1.8,1.4802808072087466
t1,1.8,1.4855101608083008
t1,1.8,1.4655100797088445
t1,1.8,1.3411306274371937
t1,1.8,1.5417216014342014
t1,1.8,1.5544030924712966
t1,1.8,1.4928486225921596
t1,1.8,1.5397296438241275
t1,1.8,1.525559495810387
t1,1.8,1.8022509323235454
t1,1.8,1.825944492980954
t1,1.8,1.746399342706296
t1,1.8,1.746632331548647
t2,-1.01,-0.6
t2,-1.01,-0.0594884085381685
t2,-1.01,-0.062406301710642084
t2,-1.01,-0.049512695714843465
t2,-1.01,-0.07322452060576094
t2,-1.01,-0.07174660709926445
t2,-1.01,-0.07154447170282652
t2,-1.01,-0.06720974939979621
t2,-1.01,-0.06404527181295408
t2,-1.01,-0.06793641987582208
t2,-1.01,-0.08814783505950424
t2,-1.01,0.028159212516505328
t2,-1.01,0.043877041236006345
t2,-1.01,0.04164640365086748
t2,-1.01,0.05506790486966356
t2,-1.01,0.09460741040158144
t2,-1.01,0.18297690837958142
t2,-1.01,0.2272590498079975
t2,-1.01,0.20351470269350402
t2,-1.01,0.2054050526669909
t3,0.58,0.3
t3,0.58,0.3540511591461831
t3,0.58,0.35359084404491364
t3,0.58,0.35404965768199886
t3,0.58,0.355880662479881
t3,0.58,0.3549577509938171
t3,0.58,0.3537390835542331
t3,0.58,0.35484250050080796
t3,0.58,0.3554991592600508
