Parameter,Case Opt,Case CE,Case Dual
t3,0.58,0.2283307552,0.2421544818
t3,0.58,0.2254633735,0.264414849
t3,0.58,0.2199341878,0.295364722
t3,0.58,0.1834776698,0.3206787599
t3,0.58,0.1950091193,0.1798023269
t3,0.58,0.1945318423,0.1573184407
t3,0.58,0.1913643688,0.1657084009
t4,0.3,0.1,0.1
t4,0.3,0.100156509,0.1001330798
t4,0.3,0.0990537468,0.100840039
t4,0.3,0.0960742131,0.1086674602
t4,0.3,0.0923811452,0.0883256189
t4,0.3,0.0663229371,0.0654012209
t4,0.3,0.0468603088,0.0404424183
t4,0.3,0.0514245885,0.0484670991
t4,0.3,-0.0151379777,0.0462775798
t4,0.3,0.0405928489,0.1353559467
t4,0.3,-0.001605112,0.0933659516
t4,0.3,-0.0416009151,0.0954011212
t4,0.3,-0.0408426241,0.1577524534
t4,0.3,-0.090973285,0.1555414771
t4,0.3,-0.078678862,0.094149333
t4,0.3,-0.0702995561,0.0533510533
t4,0.3,-0.1057077162,0.0788560155
t4,0.3,-0.0854969955,0.0710112197
t4,0.3,-0.0838698989,0.0924523041
t4,0.3,-0.1027442334,0.0898197993
t5,0.5,0.7,0.7
t5,0.5,0.700156509,0.7001330798
t5,0.5,0.6985081849,0.7009932495
t5,0.5,0.6954671303,0.7092045639
t5,0.5,0.6947844278,0.68618464
t5,0.5,0.6962371974,0.6656953502
t5,0.5,0.6822604133,0.6509793916
t5,0.5,0.6817656,0.6563079756
t5,0.5,0.7054671163,0.6691009277
t5,0.5,0.774005968,0.6955154261
t5,0.5,0.8182836247,0.7398180754
t5,0.5,0.78616154,0.7648710297
t5,0.5,0.7966915142,0.8506252904
t5,0.5,0.8010038291,0.8246910237
t5,0.5,0.8065103088,0.8002269412
t5,0.5,0.8118222066,0.740237511
t5,0.5,0.8206090456,0.7823654073
t5,0.5,0.8149071709,0.7677870516
t5,0.5,0.8165572186,0.7875566577
t5,0.5,0.8158753314,0.7748556301
t6,1,1.5,1.5
t6,1,1.5015650902,1.5013307975
t6,1,1.4932712825,1.5076320037
t6,1,1.4617483583,1.577673759
t6,1,1.4088388943,1.392992979
t6,1,1.2122766101,1.1162384942
t6,1,1.0674356905,0.7795350329
t6,1,1.1102881156,0.8496817368
t6,1,0.895181831,0.8020294424
t6,1,1.3540293289,0.9746329298
t6,1,1.451058518,1.2085346592
t6,1,1.5179929533,1.2976940435
t6,1,1.5109298668,1.1373603483
t6,1,1.4342150056,0.9840655399
t6,1,1.4141540383,0.8411799584
t6,1,1.4949089306,0.8911190104
t6,1,1.3613378074,1.0663829918
t6,1,1.327794532,0.7239683738
t6,1,1.3446771578,1.0232934888
t6,1,1.270627461,1.0197116482
