Parameter,Case Opt,Case CE,Case Dual
Cost,1.51743719,22.120654979,128.2838873
xk1,0,0.116523793,0
xk1,0.2271713766,0.3731237204,-0.0150516571
xk1,0.0552090598,0.4800999242,-0.1356337693
xk1,-0.3088240727,0.6357044088,-0.0433061614
xk1,-0.2314985855,0.593699494,0.0705830992
xk1,-0.0570286858,0.5289481793,0.034066963
xk1,0.4054280393,0.5445695647,-0.1051171178
xk1,0.4945789874,0.3746939637,-0.4322544831
xk1,-0.1032091737,0.6622588293,-0.7580512579
xk1,-2.0372858022,1.7491329145,-1.2525137293
xk1,-0.6034095874,2.3700385459,-2.1450739462
xk1,2.1501215818,0.3769286403,-3.43013922
xk1,3.0453305244,-2.3923287791,-3.2485689272
xk1,-1.0041142648,-4.9725235268,-4.1807709498
xk1,-7.0727922202,-2.9681507478,-4.4812328202
xk1,-1.3424525498,4.6949832291,-3.0128558768
xk1,9.1532185458,14.1155681497,-2.8219835324
xk1,14.4955289503,16.7686941178,-6.4426071146
xk1,5.3795917047,6.468587047,-4.5928665027
xk1,-0.6605259592,4.526474984,3.2759047202
xk2,0,0.1757728321,0
xk2,0.1722010694,0.4234361099,-0.022704986
xk2,-0.2256035812,0.2573763297,-0.1865919159
xk2,-0.3627951823,0.3876931558,0.0995836147
xk2,-0.7724165363,0.2640779593,0.1732177886
xk2,-0.2655728401,0.2083366648,-0.1044721627
xk2,0.4753951306,0.3462614497,-0.2259187306
xk2,-0.1369806254,0.0549984915,-0.4547156407
xk2,-2.5092431066,0.6405970879,-0.5934596563
xk2,-1.9968443526,1.9937158353,-1.0046080771
xk2,1.1348919295,1.4967635022,-1.8513467577
xk2,3.6321650727,-2.2814350273,-2.7675883476
xk2,0.2552585169,-3.5194874223,-1.0182738949
xk2,-7.1243552501,-3.5224514555,-2.8706135116
xk2,-6.0146250753,1.5943510535,-2.8642089349
xk2,4.3197124267,9.6538576027,0.2286642605
xk2,15.6202423026,13.6381965757,-1.5170223344
xk2,7.2382332564,6.8725385326,-7.8034481254
xk2,-13.4257719875,-8.9195230014,0.3539302606
xk2,-0.4209257506,4.2741672098,10.7864711352
xk3,0,0.2212656562,0
xk3,0.1707891263,0.418278952,-0.0285813588
xk3,-0.2235918685,0.1403864382,-0.220063018
xk3,-0.1957803332,0.6143132862,0.2351767579
xk3,-0.6763214346,0.4105550646,0.0453794564
xk3,0.4277896343,0.4610812053,-0.270286844
xk3,0.8507158128,0.6360756328,-0.1115563113
xk3,-0.4091864458,0.1108827116,-0.3988754487
xk3,-2.4868924075,1.0721808264,-0.582510117
xk3,0.4691089975,2.2839696862,-1.2196859957
xk3,1.8659315998,0.9868343207,-2.2074976165
xk3,2.5756323444,-2.5322275901,-3.1133512098
xk3,-2.1004540964,-1.2646689647,-0.9448675039
xk3,-6.3108393615,-2.4506225373,-5.2981384171
xk3,0.1862802476,1.763998454,-3.6476062641
xk3,6.014720846,7.5006543304,-0.1685447402
xk3,12.9851545314,9.7110842267,-4.8759625624
xk3,-1.6018434114,4.9398322565,-10.2270219787
xk3,-11.9522638346,-4.3919619058,4.427691586
xk3,0,21.8094979825,8.6644502243
uk,-0.223988331,0.1560898753,-0.0201623937
uk,0.4726328481,-0.0906252808,-0.1054201468
uk,-0.2670048143,-0.8557544282,0.5786503241
uk,1.9383710971,-0.4246871028,-0.1293612887
uk,2.3228647733,-1.2826608182,-0.3232445961
uk,1.0203550674,-0.9883586683,0.1326925585
uk,-0.9073721119,-0.8239473668,-0.0339666755
uk,0.7915445012,-1.3801579622,0.6116824345
uk,2.11703371,0.0647077256,0.8408920028
uk,5.817258447,-0.4399925322,1.5161837146
uk,1.2938988792,-4.1124565788,3.1714500945
uk,-5.3836657507,-6.2938002283,7.513541028
uk,-4.2006878866,0.8139088038,2.1654719743
uk,4.5119872446,2.8145824213,9.02189361
uk,20.992036207,11.0402309464,10.2402453137
uk,4.1491366729,8.3264693455,1.4693887626
uk,-24.974886249,-6.8641425224,2.0148120481
uk,-24.3152218171,-26.6549569596,22.6452486124
uk,13.2984180787,-33.4048130055,8.7551184213
t1,1.8,1,1
t1,1.8,0.9987611888,1.0000510413
t1,1.8,0.9892281356,0.9964491944
t1,1.8,0.989086833,1.0025585475
t1,1.8,1.0303518732,0.9928729148
t1,1.8,1.0407514884,1.0166599159
t1,1.8,1.0716078421,1.0277365751
t1,1.8,1.120296208,1.0133540287
t1,1.8,1.099219566,1.000080434
t1,1.8,1.0155751526,0.9988897521
t1,1.8,0.8992180732,0.9836198557
t1,1.8,0.9032849962,0.9661852494
t1,1.8,0.8433836252,0.8598567406
t1,1.8,0.9573893687,1.4118629045
t1,1.8,1.2106487446,1.4471870237
t1,1.8,1.1853935428,1.1552313289
t1,1.8,1.1743384859,2.159789442
t1,1.8,1.1737131651,2.1337438503
t1,1.8,1.2944547163,2.1034801904
t1,1.8,1.1731939858,2.1046753177
t2,-1.01,-0.6,-0.6
t2,-1.01,-0.6012388112,-0.5999489587
t2,-1.01,-0.5996505943,-0.603494857
t2,-1.01,-0.5974964366,-0.6244486207
t2,-1.01,-0.5480376662,-0.6295291406
