Parameter,Case 1,Case 2
Cost,1.2235651981754416,145.8580673824636
xk1,0.1579795720914405,8.843603761954736
xk1,0.0670043084349149,18.308700195832856
xk1,-0.25427491685454995,18.688408216753754
xk1,-0.4356011619140757,15.747684159057965
xk1,0.56676530388535,13.531774504017102
xk1,0.03775466590877108,13.10204247698557
xk1,1.485398746360268,13.300298341786684
xk1,-1.0812725494028774,13.88398661178862
xk1,-0.426480317877358,15.431767228786335
xk1,-1.7998365334584925,17.643927885603237
xk1,2.7073344383259728,18.72392344729464
xk1,1.619649605360605,18.300579961981455
xk1,-0.7897516300518811,16.919528104899374
xk1,-6.6697215697604815,16.210241588911707
xk1,-2.2772596538924237,16.225475082368078
xk1,8.313661019690086,15.95823083778219
xk1,14.10042841803913,15.084601536710302
xk1,3.3665533030595944,14.653775065040193
xk1,0.14425677364050002,15.510370581371335
xk1,0.0,15.694601016056698
xk2,0.1704032114051576,15.95736437076621
xk2,-0.11146942954303789,4.856649805116821
xk2,-0.22575446697242527,-0.3129407413144241
xk2,0.041980265386720436,-2.0018627635312454
xk2,-0.2973426726544179,0.9241079428720282
xk2,0.9809144303104973,0.9622990900155691
xk2,-1.0744161462292359,2.313998898365328
xk2,-2.274565747335878,1.7052658134577234
xk2,-4.100741213135178,4.3590161942072365
xk2,0.07916744123125447,3.3252086437904103
xk2,1.9662123775321456,2.531635087979475
xk2,0.39396703116574916,0.4502875537324741
xk2,-6.92304935510593,0.5359663194007939
xk2,-6.565306192297329,1.5062171186411035
xk2,4.839731699461777,1.6429468001790868
xk2,16.16451089287447,0.8446329896036014
xk2,6.997453348721594,0.36305477512038903
xk2,-13.425274471475142,1.736349088172968
xk2,0.23386890807290317,2.907744364363001
xk2,0.0,0.15622912378130493
xk3,0.19619185650821852,16.123739056643522
xk3,-0.16988085408939124,4.1732400048569644
xk3,-0.22249493428656167,10.594652405723942
xk3,0.036036488990457465,13.132975884030351
xk3,-0.745341404573611,15.23599441254299
xk3,2.0418027770766263,12.018258961398251
xk3,-2.5247955753260007,12.42197641227309
xk3,-0.10337535506322784,10.594167191026463
xk3,-3.401776040964008,13.189200272583529
xk3,4.678950209145885,11.259686227546759
xk3,0.47119422110666903,12.544443055558844
xk3,0.6159505174789618,12.34257831838123
xk3,-7.684713991711444,13.963356908088281
xk3,-0.42548211719000634,14.405270882929837
xk3,7.6766901939514725,13.647616403370652
xk3,12.082949133077141,12.966779799088405
xk3,-3.215544387577758,12.986928252857274
xk3,-11.952360018021825,14.032053132192644
xk3,19.72426203903728,14.061482106038026
xk3,0.0,11.132521815654592
uk,0.0011952134888646114,-5.591996645887122
uk,0.12555880065706282,-30.594707585449182
uk,-0.6162750107052098,-18.220596608754413
uk,-0.19053289991695227,-20.537539516244546
uk,2.804381089984972,-16.914358784777985
uk,-1.2403871330042213,-20.382646825280073
uk,1.7528309090224397,-15.8105298970054
uk,-1.6505377165300856,-17.602525817606754
uk,8.446997239421801,-13.0613588136559
uk,5.056137450217009,-18.737831978257148
uk,7.150917707886785,-17.963482089400554
uk,-6.561627724541394,-20.881756523508635
uk,-1.8771531752950612,-18.942579295274946
uk,5.74015951454743,-19.133347659544974
uk,18.532101088475468,-20.215389016294836
uk,2.336318613144097,-20.72655401578132
uk,-24.088204658884738,-19.888234776171178
uk,-27.02327179346567,-17.862248057441978
uk,19.82389059104877,-18.75463108727186
t1,1.8,1.0
t1,1.8,1.4524712245943767
t1,1.8,1.4170493349140056
t1,1.8,1.380065524768805
t1,1.8,1.3435690403487588
t1,1.8,1.3771659641121332
t1,1.8,1.3657528078311882
t1,1.8,1.3557610077245854
t1,1.8,1.2823668447755885
t1,1.8,1.3404775388487642
t1,1.8,1.3379146335051342
t1,1.8,1.3991247844454433
t1,1.8,1.400028266570737
t1,1.8,1.4129963208032934
t1,1.8,1.4231323287960826
t1,1.8,1.4355259699639293
t1,1.8,1.4426127476491128
t1,1.8,1.4256088035589944
t1,1.8,1.4255264887235544
t1,1.8,1.455662964046382
t2,-1.01,-0.6
t2,-1.01,-0.14752877540562326
t2,-1.01,-0.16012608475763124
t2,-1.01,-0.15207959418279532
t2,-1.01,-0.1301539059066743
t2,-1.01,-0.13175825383758752
t2,-1.01,-0.14929164357419963
t2,-1.01,-0.15356541302022472
t2,-1.01,-0.19222619776834587
t2,-1.01,-0.1710983217517111
t2,-1.01,-0.16982697158386448
t2,-1.01,-0.18036112529424597
t2,-1.01,-0.18143486009691104
t2,-1.01,-0.18509626027284137
t2,-1.01,-0.18596448335182644
t2,-1.01,-0.18950833539654716
t2,-1.01,-0.1891917861269008
t2,-1.01,-0.1951548639409215
t2,-1.01,-0.1952209391274949
t2,-1.01,-0.173280531768536
t3,0.58,0.3
t3,0.58,0.34524712245943767
t3,0.58,0.3413348375194419
t3,0.58,0.3414909368989283
t3,0.58,0.33477372960883417
t3,0.58,0.33894201076748426
t3,0.58,0.33285376360155117
t3,0.58,0.3326152617390547
t3,0.58,0.3260805732380456
t3,0.58,0.3244835514391295
t3,0.58,0.32367530905954617
t3,0.58,0.3246557875473613
t3,0.58,0.3249470030229442
t3,0.58,0.32604499711721446
t3,0.58,0.3297246589541626
t3,0.58,0.3326138397270809
t3,0.58,0.33340938174704515
t3,0.58,0.3322489905446343
t3,0.58,0.3322474652340038
t3,0.58,0.33497356256294436
t4,0.3,0.1
t4,0.3,0.06284918152264672
t4,0.3,0.07391911407304459
t4,0.3,0.07628553708715773
t4,0.3,0.08902052529538798
t4,0.3,0.08051271477376802
t4,0.3,0.08910691650909307
t4,0.3,0.08962506406845464
t4,0.3,0.09747124574515571
t4,0.3,0.09554742239590708
t4,0.3,0.09688379760764587
t4,0.3,0.09228036071849402
t4,0.3,0.09176390232494917
t4,0.3,0.08858487877383033
t4,0.3,0.08027779697694058
t4,0.3,0.07556195819516684
t4,0.3,0.07413073795921377
t4,0.3,0.07813380905450025
t4,0.3,0.0781544951278165
t4,0.3,0.06885284715115061
t5,0.5,0.7
t5,0.5,0.6628491815226467
t5,0.5,0.6731836410162546
t5,0.5,0.6719972090056547
t5,0.5,0.6790262299340701
t5,0.5,0.6733021357262419
t5,0.5,0.6864407250765466
t5,0.5,0.6868345456350243
t5,0.5,0.6928880121731035
t5,0.5,0.6961446899317713
t5,0.5,0.6975819335888362
t5,0.5,0.6966293867591128
t5,0.5,0.6962667376879542
t5,0.5,0.6952307634769611
t5,0.5,0.6880664456846136
t5,0.5,0.6823127946078558
t5,0.5,0.6815688893430168
t5,0.5,0.6820904680224184
t5,0.5,0.6820978368129075
t5,0.5,0.6664923831355691
t6,1,1.5
t6,1,1.1284918152264671
t6,1,1.2378768000944667
t6,1,1.2541609391845991
t6,1,1.309579323120542
t6,1,1.2782815517927753
t6,1,1.346874048171656
t6,1,1.3527511321734187
t6,1,1.469700461546183
t6,1,1.463924389662086
t6,1,1.472770763386082
t6,1,1.4424439922317496
t6,1,1.4396007577786871
