Parameter,Case 1,Case 2
t4,0.3,0.0638816822556569
t4,0.3,0.07738743253836035
t4,0.3,0.07806964072609208
t4,0.3,0.07841399087413238
t4,0.3,0.07796127594027749
t4,0.3,0.08131802729716073
t4,0.3,0.09196806640071531
t4,0.3,0.08501577377356873
t4,0.3,0.08507759660644681
t4,0.3,0.08577176886079316
t5,0.5,0.7
t5,0.5,0.6711095268581363
t5,0.5,0.683758954753235
t5,0.5,0.6836507577774913
t5,0.5,0.6888592172598856
t5,0.5,0.6806555219285325
t5,0.5,0.6708757547567624
t5,0.5,0.672422207222304
t5,0.5,0.6711597646341014
t5,0.5,0.6804505935942274
t5,0.5,0.680333397223204
t5,0.5,0.6996368325846587
t5,0.5,0.7000720703027934
t5,0.5,0.7038451662113856
t5,0.5,0.7042232747032094
t5,0.5,0.7049410950513259
t5,0.5,0.7070899161572541
t5,0.5,0.7014901909964318
t5,0.5,0.7018800751450616
t5,0.5,0.7012099536874971
t6,1,1.5
t6,1,1.211095268581363
t6,1,1.3433073238620548
t6,1,1.3445810190918561
t6,1,1.3865622312164816
t6,1,1.3316942963105127
t6,1,1.2795837880828067
t6,1,1.3014365304108295
t6,1,1.226037575417362
t6,1,1.2895523618005493
t6,1,1.2820580749930548
t6,1,1.3516654048819903
t6,1,1.3533553039151263
t6,1,1.3831498693318904
t6,1,1.3755683517849178
t6,1,1.3961881948519008
t6,1,1.4229626621982914
t6,1,1.406850868424258
t6,1,1.4085090605804973
t6,1,1.4260572387674066
