Parameter,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual
Cost,[81.64851505],[124.62227918],[159.48832272],[359.15311079],[186.18399059],[128.2838873],[468.78697955],[128.94345498],[90.03084659],[126.89349089],[103.20048535],[97.64692738],[229.18127129],[121.42062329],[95.33171105],[75.67095126],[442.43380855],[96.48076033],[95.46907808],[140.20297529]
xk1,7.2817243563,1.7971591009,-1.0111920934,0.5360068328,-2.3360447175,3.2759047202,-3.4421586146,1.9540472851,0.1692116668,2.2789153326,-1.9059321743,0.8190126593,-0.8686025553,-1.7578285435,0.2698535586,-0.6341462763,0.789126407,1.5134411868,1.280404063,3.3063246979
xk2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xk2,-0.0298196156,-0.1943147002,-0.2268144142,0.0248124985,0.0272149249,-0.022704986,0.1209192609,0.3808483894,0.0785268196,-0.227689714,0.1324246521,-0.1193236386,-0.1251865967,-0.0487391418,0.1993242868,-0.8027959472,-0.4946765236,-0.016939642,0.082817962,-0.4224133601
xk2,0.0187104815,-0.4030889181,-0.381343489,0.0772420503,0.1477189641,-0.1865919159,0.1845900161,0.3521371068,0.3964146982,-0.532817027,0.0702824197,-0.2551487397,-0.3623379285,-0.1891519858,0.6868049439,-1.5599921282,-1.0593042087,-0.3897717449,1.1347812413,-0.9637699173
xk2,0.4727254408,-0.5444612055,-0.481406815,0.1668051275,-0.3578384846,0.0995836147,1.0306961274,0.5461304415,0.4578932678,-0.4160934386,0.1387496455,-1.0512491105,-0.9386004976,-0.427197977,1.0795845747,-2.1121570945,-2.3962153846,-0.6207226989,2.4869929033,-1.8728587983
xk2,1.0258986228,0.0882201454,-1.094616134,0.5352815439,-0.2837704866,0.1732177886,1.893892701,0.8175235413,0.9095594994,-0.5858017822,0.263878816,-1.7412416798,-1.520724086,-0.2369179094,1.2190590324,-3.6285562879,-2.0859224086,-0.7707873935,4.2763985369,-2.240454521
xk2,1.878392916,-0.1436182367,-1.3836697662,0.4841901941,-0.3918663158,-0.1044721627,2.4363186317,0.9918277311,1.3985329729,-1.2650297566,-0.145962288,-2.4392915217,-2.3619325778,-0.3743029266,1.9342328536,0.7521736079,-2.258644435,-1.0807749445,2.6690405018,-2.0546950646
xk2,2.4307105508,-0.6394605077,-2.6139686143,0.3802693175,-0.9022581721,-0.2259187306,2.7111118272,1.3162956286,1.7096399065,-1.8276520696,-0.0279492547,-3.0284869732,-0.7019439552,-0.3393253341,0.8461408678,-0.2406984643,0.8012005925,-2.033602418,3.7230002409,-0.7265130464
xk2,3.6292743966,-1.2433669414,0.2354237472,0.6846762418,-1.7438426414,-0.4547156407,0.4130999136,0.3696589465,0.6979118497,-0.4104851673,-0.4024537263,5.0055575271,-0.902205363,-0.5263908293,0.6904936853,-2.523249558,0.180189181,-0.323300555,-2.804718897,0.2876676766
xk2,-5.2822705017,-2.0182742749,-0.523351227,0.5883773513,-1.6902617605,-0.5934596563,-0.2233033572,-0.6235287431,1.0992091175,-0.3164370521,-0.6788059485,3.4462775143,0.1797326558,-0.7681423008,0.4260562472,-0.4230252159,-0.175873575,-0.0695545194,-0.4326681254,1.558514199
xk2,-3.2940892483,-0.1996124103,-1.6920452893,1.3241543766,-1.1057116488,-1.0046080771,-0.7760484826,0.1334765821,-1.1564926657,0.3678103329,-0.8265938078,0.5307153825,-0.1307847885,-1.2795819756,-0.7486430308,-0.1270492316,-0.8766875341,-0.3935470451,3.2871436301,-1.0662515064
xk2,0.65018817,-0.8009518939,-0.812634738,2.0702013803,-1.0501807864,-1.8513467577,1.0287880791,0.2643401094,-0.2339589074,-0.1099289016,-1.3838024942,1.2449915874,-0.4012007125,-1.3493908072,-0.2055284349,-0.7557356521,0.1066890261,0.0850124307,1.1809538779,-1.7862773125
xk2,0.0406993057,-1.4404718264,0.9419990234,-0.3616883479,-1.8176983999,-2.7675883476,1.1194100042,-0.3793841159,0.2810006003,-0.0543833576,-1.9781979558,1.0099839907,-1.2834807058,-0.184099861,0.3938566883,-0.1383047959,0.2458735195,0.2345431204,-0.7259136736,0.1681247636
xk2,-3.5434756655,-0.4501391453,-0.0602624465,0.0291024024,3.5031770438,-1.0182738949,1.2970942625,-1.2506691773,0.118883367,-0.5047312473,-2.1924436048,0.7646754339,-1.819411729,-1.3474122899,-0.7781207805,1.0894042044,-0.9018182271,-0.5218284398,-0.557419398,0.2768767156
xk2,-2.7032526692,-0.8161868762,-1.0611118167,0.3483245405,1.0567693946,-2.8706135116,0.6153883192,-2.406258909,-0.7208738241,-1.2436997245,-2.4601550945,-0.3606129218,-1.093680838,-1.0296984944,-1.1394913884,-1.1507644552,-1.7505075364,-1.8941861695,-0.2664895414,-1.1000071502
xk2,0.5261686191,-2.6998033814,-0.4513188777,-0.5702722387,-1.5580322113,-2.8642089349,-0.2981726773,-2.9652037892,-0.6731789145,-1.9911110189,-0.7032933163,-1.7722486034,-1.6652076214,-1.8948084119,-0.9604682525,-2.5333266083,-1.792896985,-1.6581201667,-0.9407563899,-1.4262998172
xk2,-0.3058064116,-1.8285330419,-0.8231179257,-0.3963963027,-1.7353523715,0.2286642605,0.3327281077,0.1148777256,-0.2676421265,-1.2053019758,-1.8233874288,-0.6643906429,-1.5961552727,0.1881216149,-1.1981855772,-1.1022979303,-0.8280936062,-1.5335765549,-1.3103430021,-1.4352572847
xk2,0.8314538844,-1.9411799018,-1.8917187339,-1.5542114182,0.1814146338,-1.5170223344,-1.2784040205,-2.3940071134,-1.3838158099,-3.1401202886,-3.1713611138,0.4795924529,-0.3726816696,-0.8358450793,-2.1341340781,-0.3221373362,0.6115797317,-0.7681999989,-1.178742922,-0.9595379823
xk2,3.9683837421,-3.996949986,-2.3503842376,-4.9928226879,-3.6199054161,-7.8034481254,-7.0420858359,-9.8776942751,-8.5466630935,-5.6509015691,-5.0960063971,-5.1671333863,-7.9405274809,-5.2955878435,-5.1071901271,-3.6556042581,-6.7287862949,-7.721366448,-3.7099150895,-2.7898457212
xk2,-1.2568100153,-0.7168250695,-2.1037788676,5.8927439417,-2.4452673236,0.3539302606,4.0002773699,-1.0181116679,-6.2469165694,-0.3856157494,-5.4834377981,-2.7021858087,1.4867662772,-3.9324244169,-3.8187001973,-5.7413830069,8.3655592734,-3.8273921439,-2.7873273963,1.4405203648
xk2,8.7285915733,6.8347595172,2.4592684853,0.3225575067,1.1529801888,10.7864711352,-2.7405753704,11.6949278313,11.9712781769,8.8611987328,6.2059497163,7.0803235512,3.5403397479,4.5819855298,7.875656487,6.3995869823,-0.6481436989,11.2940013508,7.2808494419,6.2236722246
xk3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xk3,-0.0375374223,-0.2446064549,-0.2855176279,0.031234321,0.0342585916,-0.0285813588,0.1522153023,0.4794182692,0.0988509368,-0.2866194703,0.1666984974,-0.150206704,-0.157587102,-0.0613535644,0.2509126006,-1.0105732869,-0.622707112,-0.0213240016,0.1042527051,-0.5317409784
xk3,0.0430196909,-0.3805637728,-0.3319763899,0.0810352858,0.1681849665,-0.220063018,0.1534284282,0.1946529102,0.4477506786,-0.5220767069,0.0020254463,-0.2432893723,-0.3743915145,-0.2062904726,0.7344413327,-1.4396678841,-1.0105383628,-0.4795932168,1.37441816,-0.9374463794
xk3,0.5671147951,-0.5248469714,-0.4768287448,0.1726555739,-0.5325154431,0.2351767579,1.240806909,0.6587062064,0.3590885055,-0.296192989,0.198705889,-1.2197759627,-1.0110914909,-0.4400211013,1.0159035236,-2.0643662601,-2.5860911354,-0.5358766999,2.4336003378,-1.951489656
xk3,0.9807026743,0.1754726306,-1.3562567883,0.6156983375,-0.0346651152,0.0453794564,1.8573270732,1.0117291831,1.0869691078,-0.838727543,0.3319758703,-1.6883725846,-1.5432813834,-0.1388451775,1.2726537541,-4.3355190222,-1.8198719319,-0.7777003662,4.3922141111,-2.2765408501
xk3,1.9477495954,-0.7156416874,-1.4670660491,0.3827511772,-0.4337086687,-0.270286844,2.4662373598,1.1990217212,1.5791409606,-1.6764314963,-0.2356371576,-2.6086323845,-2.6396772556,-0.6251093113,2.5137116408,1.4586283105,-3.2432534466,-1.3442806766,2.3496534465,-2.5605812427
xk3,2.5676580456,-0.9439934067,-3.2166786327,0.5237292239,-1.1523142978,-0.1115563113,3.2651414892,1.7169271257,1.9612302934,-2.0309009691,0.2673280097,-3.6003847272,-0.5757789403,-0.5073965873,0.9812291613,-3.7940823781,0.2593334568,-2.5667776665,6.3653449919,-1.6532934264
xk3,4.4542617584,-1.2691356874,0.7605277522,1.1092082762,-1.976178021,-0.3988754487,0.9462265801,0.5365074671,0.9370776107,-0.29162341,-0.4403111679,6.1378510031,-2.6737755416,-0.7970985941,1.9900843224,-4.3952290138,-2.6783719707,-0.0543212161,-2.4612510646,-1.4253242295
