Parameter,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE
xk1,0.6219004215,-3.1458947255,-2.3078275324,-5.8584950461,-1.0580049724,-2.3923287791,-0.851217626,-0.9529383771,-0.840225166,1.8389849852,-0.3054803597,-1.2670947949,-1.3866484051,0.2978557329,0.0089436569,-3.7031775971,0.0937027689,-0.9503310833,0.4710576648,-3.7288847522
xk1,-1.6098468747,-5.0428705344,-3.6520962866,-5.7458387411,-3.9938116102,-4.9725235268,-2.0300717961,-1.7752903876,-1.8414001867,0.2725244982,-2.3418391493,-3.096575411,-1.7803177619,-1.4066590811,-1.2932675425,-5.1711299965,-1.1363814609,-1.7129404783,-2.1161772506,-5.8231047253
xk1,0.0206571479,-5.9209037437,-2.0307037555,-3.9442304109,-3.5280147602,-2.9681507478,-1.7438795983,-1.5842951337,-1.3301842206,-0.740101413,-2.8934467134,-2.9539575115,-0.629081737,-2.6917055627,0.0805197978,0.1717336341,-1.1751378299,-0.9358813395,-3.4592542807,-3.2077147047
xk1,5.1903890527,-3.4064236853,3.468164268,-3.7103293729,1.9915274659,4.6949832291,1.5393098678,2.0558327157,2.2201569993,1.1898384281,0.4184454974,3.111840077,5.8804520805,0.2123393674,1.6826797214,7.5538972296,2.297723482,2.5763904485,1.1314791766,4.8902619616
xk1,15.308018804,2.6612003873,8.1236490924,3.1393856855,7.6140671822,14.1155681497,8.1232089078,9.6521493966,6.8812862944,7.245814715,7.338307841,12.786746102,19.0915730135,8.284184865,4.8768168438,20.5571751061,8.3076262501,8.4506971231,9.4961109865,15.3119583361
xk1,20.2526967961,5.3720558732,6.8324547868,-0.4413127666,6.5162795131,16.7686941178,12.0108998545,16.6692450787,9.7980095762,10.7501057678,12.0815658656,18.229472381,27.5049417804,14.5464706511,6.4638551981,31.2394814323,10.5568894419,13.3204128132,14.5119904567,22.9729857892
xk1,11.4575180888,2.170532478,-1.0613472864,0.1064296002,-0.7509025788,6.468587047,5.8882926312,9.2905159087,2.0784254845,3.5326035818,7.3484835597,10.2913518539,22.5109458372,5.4745474904,-2.7505482544,-3.9477610843,4.4740600352,3.6125441955,6.7423850469,7.0979070009
xk1,5.7471152808,2.9716971226,0.0607065353,4.8596420972,1.6147496364,4.526474984,4.0284005363,6.2211688538,0.7367351712,-0.1369886359,4.8079374987,9.35604836,9.4974285622,3.2516227673,4.5597581992,-16.3667783636,2.332286715,-0.2886929686,4.1960066132,4.3367944342
xk2,-0.1942138067,-0.3662317708,-0.4177723004,0.23432898,-0.0593754349,0.1757728321,-0.2725449715,0.2788807776,-0.0240248966,0.480254724,0.0067685071,0.0841412116,-0.3164300894,0.0748251103,-0.0819480548,-0.1061209497,-0.1190936751,0.0114276477,-0.1910848447,-0.1876069799
xk2,-0.8360417499,-0.457913819,-0.6550801262,0.3580726671,0.4194205986,0.4234361099,-0.6280421363,0.4104698631,-0.1357985845,0.5528178248,-0.2333018884,0.1434983695,-0.2414297839,0.1280270659,0.2186200975,0.0957824267,-0.5953067291,-0.0796157338,-0.3360249754,0.254104192
