Parameter,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt
Cost,[1.47540776],[2.66042598],[2.8094477],[1.09023928],[6.55852403],[1.51743719],[1.11588525],[2.80223365],[1.45931268],[2.63749849],[2.90806085],[2.65822743],[3.09662901],[2.53608497],[1.53700399],[1.2196409],[5.33718851],[2.80366132],[5.44053591],[3.59418163]
xk3,0.1092980464,-0.4080288286,0.1097716688,1.2974706636,1.0476270555,0.4277896343,-0.635856525,-0.3228879192,0.4341628328,-0.0460102897,0.6028586047,-0.1312409083,0.7950563261,-0.5423854253,1.9961805464,0.2223894454,1.0872928449,-0.0930039302,1.4463128121,1.8964048416
xk3,0.7999768327,3.197073523,0.6354314253,0.4864296296,0.3658295091,0.8507158128,2.2698106992,2.3584162258,0.1515510108,2.0835834165,-0.5629978168,1.2975304021,0.7734844366,1.5905895397,-1.0708645544,0.9565520684,-0.4509785901,0.0776199332,-1.3057048191,-1.2931583358
xk3,0.0879903417,-3.3457157663,-0.7500325716,-1.8418637635,-1.17790134,-0.4091864458,-1.4961066736,-2.0674840975,0.3421200649,-1.3571942405,0.4386745971,-1.8889930461,-0.0381926433,-0.8670392186,1.2467488815,-1.246775054,-1.2677282202,1.3987447159,1.6613021411,1.7676114174
xk3,-0.3535062826,1.3159027596,-1.0519314014,-0.4701951962,-1.0853259352,-2.4868924075,0.180489273,-0.246951715,-1.9771476792,-1.2933381789,-2.1433944801,0.6016608083,-1.5477155838,-2.4836706548,-3.1292963695,0.673298517,-1.3313272422,-4.4321369506,-1.4239365032,-2.7226005129
xk3,-1.8228267236,-0.9958470719,-1.7718348942,-1.2066267869,-0.5376511127,0.4691089975,-2.6596169555,-1.0739458461,-0.4940700766,-1.0344515659,-1.4993426031,-2.0151605841,-0.7575903232,0.8909591341,0.9033015912,-2.6962344742,0.7936833758,2.4454536069,-1.1814748683,0.6947956527
xk3,4.9582456125,1.4357362558,2.4451923782,3.3387223362,3.122249973,1.8659315998,5.3148805481,1.785233371,2.5866699976,3.984969904,2.4405077847,3.0540865054,2.7237851467,0.326602565,1.314847218,4.7892427375,-0.4596022341,-0.7956816516,4.5027829096,2.1387368184
xk3,0.2905695047,2.2321999339,2.1133902058,1.3290230756,-0.548646645,2.5756323444,0.2185018913,3.2028150221,2.3301701141,1.6660844114,1.7061911133,2.5565005565,2.453072381,4.2161263999,3.6991658231,-0.3659771492,4.3867953901,4.0113662638,1.0121376646,2.9332768009
xk3,0.6151951412,0.4447665014,-0.6664406674,-0.85986675,1.6198943583,-2.1004540964,0.294805305,-2.8388896912,-1.8040532996,-1.5736992435,-1.2281414723,-2.9696458378,-0.2226403304,-2.1095491743,-2.1550565647,2.9849075695,-3.0119425589,-2.7525835831,-0.1931782732,-1.557351107
xk3,-7.9582403923,-8.5140372894,-7.1576876289,-6.4782657569,-9.4457722416,-6.3108393615,-5.1934343674,-3.8331332785,-5.5352862909,-6.248995734,-7.0699532446,-4.7524209002,-7.2698818841,-6.1958642204,-6.1888938017,-10.3303085975,-4.4392540737,-5.0243961788,-6.1064457043,-5.7290750731
xk3,0.2301121906,1.1465162917,-0.2331883949,-1.7614367693,1.4848429536,0.1862802476,-2.6865683815,-2.1383350862,-1.8476815668,0.1488836526,-1.3413123983,-2.6979818417,0.158586974,-0.5239067213,-1.2393139348,1.0881948381,-4.2765219627,-3.3633348071,-1.921227101,-1.3286065114
xk3,7.8485017263,5.6202834974,7.2502825895,9.6289409495,4.8740584838,6.014720846,8.97473884,8.237103895,7.5279051141,7.884881337,8.3902696333,9.2613194036,5.6673026009,6.6992394659,8.5423055947,8.1009074355,9.7775849433,10.2491216196,9.9035858091,7.9596657101
xk3,10.1094230231,13.3080221672,12.5893719565,10.2439660548,15.5992955801,12.9851545314,9.6730473323,10.9972927373,12.5193283584,9.6859510169,12.680822928,11.6977119722,13.3831337187,12.7298152806,10.7463596099,9.6405133883,11.0268265091,10.7388661288,8.1526353332,10.627643161
xk3,-1.3518959407,-4.1036897216,-4.4779139191,-2.034489174,-5.7473893423,-1.6018434114,-3.1457277699,-4.4040159768,-1.8845114851,0.0672809426,-1.1558251705,-4.7821756654,-5.716185074,-3.2447761888,-1.2788206029,-0.3684878861,3.3740721978,0.304925822,1.2260997394,-1.2757173042
xk3,-12.9761965451,-10.0109070688,-9.9426043104,-12.2177992942,-6.8194598452,-11.9522638346,-12.670921381,-11.7140780116,-12.7580413509,-16.2595321127,-9.9817683416,-9.9644522657,-10.1638917029,-12.1885124389,-14.0577632873,-11.9210887342,-14.0363136856,-13.6736398311,-18.6785307461,-15.7048561803
uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uk,0.6284872564,-0.1288537707,0.0092619206,0.6544756637,0.4914041521,-0.223988331,0.2036010501,0.1054024138,0.858163696,-0.1404505615,0.7007183115,-0.8438191642,0.0237375477,-0.2085352463,-0.2087182685,0.4462112032,0.0070272769,0.1371694695,-0.2366870246,0.1622117564
uk,-0.8604101044,0.4315281176,-0.8046741034,-2.504640198,-1.1908372574,0.4726328481,-0.7170089893,-0.3928889138,-2.4645672552,0.6375301828,-2.6251411892,2.3241382563,0.1160760438,0.1180850573,0.2235826616,-1.2106943797,-0.6568983068,-0.8653891442,1.0453744066,-0.7872354783
uk,-2.1679112105,-0.3999282201,1.7861721883,0.938298716,-0.6861005263,-0.2670048143,0.0680824428,0.1065302354,-0.4390516531,-0.8914567274,0.5351492719,-0.1021487618,-0.3281814638,1.3379260346,0.1938854984,-0.3353141966,0.8086327564,0.9363923089,-0.8419618122,0.0607455514
uk,-2.5876265601,0.4207370036,0.8604726487,1.3904635019,-0.4754631254,1.9383710971,-0.079912979,-0.1047078261,-0.5007159824,0.4578795987,1.541815261,1.7519205813,-0.314780093,-0.0059024363,2.9568512616,-0.5817415146,2.4105251458,0.3554275593,0.1086264359,2.2654499684
uk,-0.8061323975,2.6245344595,2.7045946298,1.2565684582,-0.4822970136,2.3228647733,3.0421030475,2.3352686706,1.0770156741,1.828989862,2.6816439094,2.7140139385,-0.1913554722,2.8759542286,0.3374274025,1.0615676723,1.9593783627,2.5503794651,-1.4274516761,0.2173326644
uk,-2.1264438155,-3.483064933,0.682404128,0.3566989968,-0.9785029696,1.0203550674,-1.626807237,-2.4765190714,0.8196604899,-1.9193318908,3.8075865961,0.2307766734,-1.7059167524,-1.107524295,2.9700293312,-0.882227012,2.9162030821,1.7945363723,1.3206007614,3.2187108272
uk,-4.2030513723,0.8716743361,-0.8311878533,0.0784747076,-1.877774026,-0.9073721119,-0.6649549136,-0.6914771842,-2.4864265836,-1.4476662638,-0.1759478466,1.4104978761,-4.4606849574,-1.6775268556,-3.4273315001,-1.0678968275,1.6208737793,-3.329667949,-5.1485696813,-4.0418407285
uk,-5.3818420766,-6.106123623,-1.547709497,-1.9540364653,-2.1440812165,0.7915445012,-4.6203960053,-4.0373079357,-0.8052169894,-2.613092135,1.9106740093,-2.8322867458,-3.9234648421,-0.3097339449,0.8534000802,-4.87211163,1.8127704476,2.8736153321,-3.0664372307,-0.1634437764
uk,0.7506956725,0.5657475812,4.4205892001,4.0012275271,2.3729952262,2.11703371,3.4993402996,1.7199533019,2.1312245374,2.3788506128,6.1982785817,4.4967900456,0.101310328,0.7278751205,0.5112308949,3.6052842654,3.500133658,-0.7768336753,0.7679517805,-0.3781581886
uk,-2.4798225579,2.9413924577,5.8040224406,3.7358970598,3.1818203757,5.817258447,-0.9921095534,4.3498158067,4.0438676022,1.6831605816,7.7855371851,3.5969887971,1.9835680884,7.5931854518,5.582214694,-0.3107144381,10.433126507,9.1651917477,-1.222289046,2.8238776008
uk,-0.4257683135,-0.1641799634,3.7235877354,2.646895701,5.295274074,1.2938988792,1.5091113092,-0.1765342815,0.8636264388,0.394197834,6.0223709544,0.5251636696,-0.7794408279,-0.2296768638,-1.1607231481,3.0612714145,1.3784449902,0.5792662235,-1.0445457719,-2.2449315041
uk,-13.3786023481,-10.349683265,-5.6467539316,-7.2484939192,-9.2355270213,-5.3836657507,-11.3580630648,-4.6615862724,-6.5148714939,-8.3111432803,-2.8719669212,-4.9017315223,-10.5832746265,-5.4265875032,-6.995935354,-14.4562800995,-2.1444698227,-3.0224886929,-12.3385772736,-9.5979338266
uk,-6.9161317515,-3.7082900197,-2.5196007697,-4.9609478269,0.7748042625,-4.2006878866,-10.772564752,-8.5799559542,-6.6637619849,-6.713394771,0.069820108,-6.9129342376,-7.0454891352,-5.4308515689,-6.7247883393,-2.9639220371,-5.9683333876,-4.989744663,-10.235260591,-9.5305217686
uk,0.5678912943,1.3820523288,5.7158585763,6.9794536555,4.6063269486,4.5119872446,2.5546007837,5.4321854065,6.0773731369,2.0310151783,10.9289768296,8.4906932158,0.4401976049,4.2790697539,4.7819262333,0.5885073041,11.8850360814,11.1544637012,2.0218926695,2.0765183012
uk,14.2947183818,20.2485993766,19.4564190445,15.1498406326,25.4672986266,20.992036207,11.3921118008,15.0129917751,18.6880657633,14.2519819129,21.9708661815,16.7386451102,18.5277879842,19.051466528,15.6143584029,14.7321814576,18.372086033,16.9741065833,9.7263952789,14.0583827168
uk,3.0220648685,0.9788569579,1.8787323821,4.6545215028,2.1105084179,4.1491366729,0.1847897109,-0.2058869881,3.5274722295,2.8613671958,9.2031517883,2.1962514182,-2.488830585,1.2467932157,3.4664958563,5.9255372941,13.0140906591,8.4492887626,2.886427877,0.8720777377
uk,-26.3487796238,-22.2007838283,-21.577240592,-24.7364419352,-18.0191368177,-24.974886249,-25.4171374235,-23.6174927249,-25.4909921179,-30.0667182007,-22.502274992,-21.2772092859,-21.895452792,-24.4953902457,-27.0406678394,-25.6538572281,-28.4388031284,-26.791576248,-32.8989321358,-29.011440219
uk,-30.0078848927,-30.0242091968,-31.5436543047,-27.1967679903,-26.6496827865,-24.3152218171,-25.8314467351,-30.61324128,-26.7258302537,-29.4221960801,-22.068449439,-30.9009655877,-29.0233661279,-29.9732694139,-30.2369510536,-27.3695537745,-21.6597365104,-21.8445209741,-31.3685959404,-29.0193090542
uk,20.1900412409,22.969417267,22.8510386161,17.8342010387,22.1983461794,13.2984180787,20.0565672448,25.8096841156,20.6153385568,19.9389141682,12.6464611263,22.592541566,24.4548687713,25.3085728106,21.8808537993,16.5381207009,8.3617269158,12.2061079689,21.0478032384,19.2194831902
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
t1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
